building_type,dengji,jianzhumianji,loupan_content,loupandizhi,price_perunit,release_date,service_price,suozailouceng,titile,total_price_10K,url,xzl_content,zhuangxiu
毛坯(不可分割),,110㎡,津滨腾越大厦地处珠江新城门户。华夏路与华强路交汇处，北临黄埔大道约50米，西连广州大道约150米，东接华南快速干道约2000米。三核商圈辐射，全能配套完善，尽享珠江新城商圈、天河北休闲购物商圈、琶洲会展商圈三核商圈辐射，彰显不可比拟的商务办公区位优势，同时一公里内五星级酒店、银行、大型购物中心、体育中心等服务配套设施一应俱全。,"['广州', '天河', '珠江新城西', '津滨腾越大厦']",(24200元/㎡),2019/8/9 9:30:52,,中区(共28层),天河区 珠江新城 津滨腾跃大厦 单价2.4万 租金145块,266,https://gz.office.fang.com/shou/3_241265065.html,津滨腾越大厦简介津滨腾越大厦定位于为中小打造发展平台，故其产品面积适中，主力户型集中在60－180平方米左右，各种费用也相对其他超写字楼要实惠。津滨腾越大厦地处珠江新城CBD门户，坐镇CBD核心，雄踞交通要塞。华夏路与华强路交汇处，据守广州城市交通动脉，北临黄埔大道约50米，西连广州大道约150米，东接华南快速干道约2000米，距地铁市民广场站约2路程、体育西站约4路程、珠江新城站约5路程。三核商圈辐射，全能配套完善，尽享珠江新城CBD商圈、天河北休闲购物商圈、琶洲会展商圈三核商圈辐射，彰显不可比拟的商务区位，同内五酒店、银行、大型购物、体育等服务配套设施，商务资讯尽在掌控。 津滨腾越大厦物业详尽津滨腾越大厦地址：天河珠江新城华夏路49号津滨腾越大厦楼层： 地面28层，地下3层，分南北2塔津滨腾越大厦实用率：68-70%津滨腾越大厦楼底高度：吊顶后净高2.5米津滨腾越大厦电梯：OTIS高速商务电梯津滨腾越大厦停车位451个车位，月租1500元/月，时租16元/津滨腾越大厦管理费：16元/平方/月 津滨腾越大厦周边配套津滨腾越大厦周边交通：珠江新城站，地铁三、五号线，双地铁站公交车站：天河站、星汇园站津滨腾越大厦周边餐饮：麦当劳、都城快餐、星汇咖啡厅、星汇园茶餐厅津滨腾越大厦周边银行：工商银行、华夏银行、中信银行、中国农业银行等 津滨腾越大厦优、缺点津滨腾越大厦优点1、  全新写字楼（新时代设计风格，更有现代化风格及配套）2、  珠江新城CDB红线范围内，租给金融行业可以享受国家优惠政策3、  空调独立计费，24自由4、  交通便捷，楼下即有公交，邻近地铁站津滨腾越大厦缺点1、  一层有13个单元，该大厦主要针对中小型公司，如积需求较大的公司，可能无法满足需求 选择中原中原工部成立于2009年，目前在广州专业从事写字楼项目策划租售及二手租售范畴业务里具影响力的代理机构；拥有完善的架构，分部设于各区写字楼心脏地带；具有全面的一、二手市场资讯，盘源齐全，资讯准确，为广大客户提供专业的写字楼服务。 -------【信专业 选中原】-------,
毛坯(不可分割),,120㎡,"保利天悦·叄悦广场位于广州江景豪宅综合体保利天悦内，项目由三栋甲级写字楼呈“品”字形120°围合而成，中间打造了一个逾3000平方米的下沉式商业广场，是珠江南岸“琶洲之眼”地标区可售的江景甲级写字楼群。保利叄悦广场写字楼拥有110~1727平方米灵动组合商务空间，园林方面别出心裁地采用了“一石成山，二泉映月，三木成林”的景观设计。 

同时，广州美院的艺术大师还将在叄悦广场下沉庭院打造9米高莲花及“时间的村落”艺术风景装置等艺术风景线，开启CBD“公园式 商务”的新模式。","['广州', '海珠', '琶洲', '保利天悦叁悦广场']",(36850元/㎡),2019/8/27 12:25:13,,中区(共42层),琶洲 保利叁悦广场 豪华装修 120方 另有500方出售,442,https://gz.office.fang.com/shou/3_241771235.html,,
简装修(可分割),其它,100㎡,"富力盈力大厦占地9,082㎡，总建筑面积11.8万㎡，总高为30层，北塔( A座)为摩根商务写字楼，南塔( B座)为史丹尼国际公寓。北临黄埔大道，西临广州大道，地理位置优越，交通便利。南北两侧均留有23米绿化用地，东面规划为小学用地，有开阔的视觉空间，西面拟建办公楼及星级酒店。项目由2栋30层带电梯楼宇组成，北塔为3-30层为写字楼，南塔4-30层为公寓，负一至负三层车库。群楼西面三层会所功能包括健身桑拿、书吧、桌球室、多功能会议室及休闲音乐咖啡厅等娱乐项目组成。户型包括：单身公寓、一房两厅、两房两厅、三房两厅、四房两厅；从40㎡――216㎡，以40㎡--67㎡单身公寓为主力户型。大厦5层、1","['广州', '天河', '珠江新城西', '富力盈力大厦']",(36000元/㎡),2019/8/26 1:06:04,3.80元/平米·月,高区(共30层),富力盈力大厦，位于珠江新城，精装修，随时过户,360,https://gz.office.fang.com/shou/3_241738896.html,本人声明：诚信为本，服务领先！真实有效，杜绝虚假！现网上大部分发布的都是虚假房源，但此房源信息真实有效！本店是二手房网上的旗舰店铺，所推的房源，价位都是真实的，全部的房源都是本人的亲自与业主沟通过、图片也是现场拍回来的，全部都是可交易的真实房源。所以不要拿本店房源与其他的虚假房源做对比！     如果您在本店没有看到合适的，也请您不要关掉网页，请点击我的头像可以在我的房源库查看更多附近楼盘的笋盘！ 诚心买房，欢迎来电：黎庆辉（ 132-6535-9091微信同号，24H在线）,
纯写字楼,甲级,120㎡,保利世界贸易中心为广州市保利国贸投资有限公司投资兴建的一个项目，总建筑面积超过50万m2，地上建筑面积为37万m2。其中9.48万m2博览馆，拥有4020个展位，可举办各类国际大型展会；特设的9.25万m2“lifestyle”品牌展示馆，为企业提供品牌展示特区。,"['广州', '海珠', '琶洲', '保利世界贸易中心']",(28333.33元/㎡),2019/8/21 9:31:12,25.00元/平米·月,中区(共22层),保利世贸 琶洲电商会展核心要地 配套完善 地铁上建,340,https://gz.office.fang.com/shou/3_241599659.html,《保利世界贸易》作为琶洲会展核心区的城市商业综合体，保利世贸由央企保利地产斥巨资打造而成，八年的精心营造，这座56万m2商业综合体。1）博览馆：琶洲有影响力的会展场地之一，拥有4020个国际标准展位，每年举办近百场会展，展会涵括数百行业，吸引百万全球客流2）写字楼：琶洲商务名片。保利世贸写字楼C、E、F、G座已投入使用，现有广新集团、广东广告传媒有限公司等有名企进驻。3）美食广场及：保利世贸拥有超1000m2商业配套。大型美食广场搜罗岭南风味美食，引进大西豪、麦当劳、赛百味等餐饮集团，不出琶洲，也可让人尽享全球美味。《本案基本情况》1）面积信息：120㎡，73%2）价格：28300元/㎡3）装修情况：高等装修，不可分割；4）朝向景观：南向5）楼层信息：中区（共22层）《大厦基本情况》6）本案为保利世界贸易centerC座，2009年落成7）空调独立控制，管理费25元8）地下停车1000元每月，临时6元/半9）距离地铁《琶洲》站C、D出口100米谢谢观赏。,毛坯(可分割)
毛坯(不可分割),,132㎡,"中信广场共包括1幢80层办公楼、2幢38层附楼、4层商场裙楼及2层地下停车场。主楼高达391米，中信广场配备卫星天线，光纤通讯，中央冷气，后备电源，10,000条IDD和传真线路；34部进口日立高速升降电梯；地库设有2层停车场，车位超逾900个，办公室设施配套齐。","['广州', '天河', '天河北', '中信广场']",(30000元/㎡),2019/8/20 11:35:08,,中区(共81层),广州 中信广场 名企邻里 少有小面积出售 业主诚心出售,396,https://gz.office.fang.com/shou/3_241577821.html,,
毛坯(不可分割),甲级,145㎡,1997年初，新大新东山广场隆重开业。这里毗邻环市路高级写字楼群，具备良好的商业基础和文化氛围。,"['广州', '越秀', '东山', '东山广场']",(18500元/㎡),2019/8/29 12:03:41,28.00元/平米·月,中区(共42层),广州东山广场写字楼出售 配套齐全带装修 管理服务好,268,https://gz.office.fang.com/shou/3_241825023.html,,
纯写字楼,,133㎡,"保利鱼珠港项目正位于位处广州“东进”战略-黄埔临港经济圈 核心位置，占地约59.6万㎡，总建面约110万㎡，西临珠江新城和国际金融城，北接萝岗高新产业区，南为番禺海珠商圈，东接香港东莞深圳珠三角经济圈。

保利鱼珠港的定位为集居住、商业、娱乐、办公于一身的 城市综合体，涵括了奢华型酒店、超甲级写字楼、大型购物 、小区购物等。是保利集十年综合体开发经验的作品","['广州', '黄埔', '大沙地', '保利鱼珠港']",(28369.17元/㎡),2019/6/13 20:10:29,,中区(共30层),广州龙头位写字楼 保利鱼珠港 地铁口 270度望江,377,https://gz.office.fang.com/shou/3_239582535.html,保利鱼珠港------比肩的商旅目的地 准现楼 造就广州东新CBD，多种业态地标林立，满多种所需地标甲 总部 退台创意 江景独栋保利鱼珠港是基可售面积：133-159-300-2106㎡ 出售价格：2.88-3.3万元/㎡ 交楼时间：预计2020年第三季度本人拥有知识和多年的经验。有较强的谈判能力，为每位购房者解决问题拿下优惠价，是我的追求和方向，欢迎您的来电，谢谢。,简装修(不可分割)
纯写字楼,甲级,103㎡,保利世界贸易中心为广州市保利国贸投资有限公司投资兴建的一个项目，总建筑面积超过50万m2，地上建筑面积为37万m2。其中9.48万m2博览馆，拥有4020个展位，可举办各类国际大型展会；特设的9.25万m2“lifestyle”品牌展示馆，为企业提供品牌展示特区。,"['广州', '海珠', '琶洲', '保利世界贸易中心']",(28000元/㎡),2019/7/15 12:28:16,6.00元/平米·月,中区(共45层),琶洲保利世贸座  价格便宜 户型方正 交通便利,288,https://gz.office.fang.com/shou/3_240556796.html,琶洲会展核心区商业综合体，配套。作为琶洲会展核心区的城市商业综合体，保利世贸中心由央企保利地产斥巨资打造而成，八年的精心营造，这座56万m2商业综合体，以其丰富的业态、优越的地段，成为琶洲会展区核心的商务基地本案为保利世界贸易中心D座，管理费6元1)面积信息： 100㎡，70%得房率，2) 价格： 28000元/m2?  售价：280万（笋） 3) 装修情况： 豪华装修4) 楼层信息：（共46层）本案地址：新港东路1000号1）博览馆：琶洲有影响力的会展场地之一，拥有4020个国际标准展位，每年举办近百场会展，展会涵括数百行业，吸引百万全球客流2）写字楼：琶洲商务名片。保利世贸写字楼C、E、F、G座已投入使用，现有广新集团、广东广告传媒有限公司等有名企进驻。3）美食广场及：保利世贸中心拥有超1000m2商业配套。大型美食广场搜罗岭南风味美食，引进大西豪、麦当劳、赛百味等餐饮集团，不出琶洲，也可让人尽享全球美味。4）：聘请国际酒店管理团队，提供媲美白金五的服务。堂正地产推介房源：?中洲中心、保利国际广场、叁悦广场、中洲交易中心、保利世界贸易中心,精装修(不可分割)
毛坯(不可分割),甲级,122㎡,"保利鱼珠港项目正位于位处广州“东进”战略-黄埔临港经济圈 核心位置，占地约59.6万㎡，总建面约110万㎡，西临珠江新城和国际金融城，北接萝岗高新产业区，南为番禺海珠商圈，东接香港东莞深圳珠三角经济圈。

保利鱼珠港的定位为集居住、商业、娱乐、办公于一身的 城市综合体，涵括了奢华型酒店、超甲级写字楼、大型购物 、小区购物等。是保利集十年综合体开发经验的作品","['广州', '黄埔', '大沙地', '保利鱼珠港']",(32000元/㎡),2019/8/27 10:16:38,20.00元/平米·月,中区(共45层),保利鱼珠港 双地铁上 180万综合大城 准现楼 优惠呈献,390,https://gz.office.fang.com/shou/3_241765616.html,,
纯写字楼,甲级,132㎡,"富力盈通大厦项目位于珠江新城华夏路，地处中轴线区位,毗邻城市交通动脉黄埔大道，北邻体育西成熟商业和生活区。
项目占地7,623㎡，总建筑面积约120,000㎡，层数41层，总高达到196米。项目1层至5层为配套商业，6至41层为超甲级写字楼。东侧紧邻珠江新城中轴线，视野极为开阔，俯揽近20万㎡中央绿化广场，坐拥稀缺的景观资源。
富力地产在珠江新城成功开发了富力中心、富力盈信大厦、富力盈泰广场、富力盈凯广场、富力盈隆广场等多个写字楼项目，均受到广泛市场关注，在商业地产领域获得较大成功，对于珠江新城区域的开发起到至关重要的作用。富力盈通大厦是富力集团继富力盈信大厦荣耀谢幕后又一超甲级写字楼力作","['广州', '天河', '珠江新城中', '富力盈通大厦']",(40000元/㎡),2019/9/4 18:34:18,24.00元/平米·月,高区(共41层),富力盈通 高层 南向 全落地窗 现吉,528,https://gz.office.fang.com/shou/3_242002286.html,"房源亮点富力盈通大厦简介：富力盈通大厦位于珠江新城华夏路，地处CBD中轴线核心区位，毗邻城市交通动脉黄埔大道，北邻体育西成熟商业和生活区，地理位置得天独厚。项目东侧珠江新城中轴线，视野极为开阔，俯揽近20万㎡绿化广场，坐拥CBD为*的景观资源。富力盈通大厦设计为41层建筑，楼高达167米，总建筑面积约12.1万平方米，其中6—41层写字楼面积达8.1万平方米，首5层商业面积约1万㎡，配备地下4层车库、662个车位。大厦标准层面积约2300㎡左右，户型面积121—351㎡，间隔方正实用，坐拥20万㎡中轴广场绿化景观，城市环境和景观效果独具优越。富力盈通大厦详细情况：项目位置:广州天河区珠江新城华夏路28号开发商/产权方:广州富力嘉盛置业发展有限公司物业公司:广州天力物业管理有限公司总建筑面积 占地面积:7880㎡ ，总建筑面积:121274㎡。落成时间:2009年07月15日,交楼时间:2011年3月标准层面积:约2300㎡，户型面积71—388㎡。管理费:24元/平方米/月停车费:共计662个，1900元/月（24），1200元/月（12），时租：8元/",精装修(可分割)
纯写字楼,甲级,105㎡,"VILI威尼国际建筑于广州天河北林和西路的西侧，东邻广州火车东站，南接中泰国际广场，西靠广州军事体育学院，北瞰火车东站站台及广园东路。
      威尼国际坐镇广州新城市中轴线，总占地面积近6000平方米，总建筑面积8.6万平方米，威尼国际地上部分共三十一层, 一、二层是商业功能, 三层架空层，四至三十一层为写字楼和酒店式公寓。项目总套数1218套。","['广州', '天河', '天河北', '威尼国际大厦']",(20000元/㎡),2019/5/20 18:04:31,13.00元/平米·月,中区(共31层),威尼国际大厦出售 南向带租约卖 豪华装修 6厘租金 业主出国急售,210,https://gz.office.fang.com/shou/3_212900071.html,,精装修(可分割)
纯写字楼,甲级,101㎡,中洲中心由广州中轻新洲房地产开发有限公司投资兴建，位于广州琶洲会展中心斜对面，由两栋塔楼组成。其中北塔6-26层为写字楼，南塔6-30层为商务公寓，地下1层至裙楼4层随广交会进行进出口馆外展，以及不定期进行行业展览，5层为酒家、空中花园和会所。,"['广州', '海珠', '琶洲', '中洲中心']",(25742.57元/㎡),2019/9/4 16:05:40,22.00元/平米·月,中区(共26层),中洲北塔 朝向 盛地 三面采光 双面江景尽收眼底！,260,https://gz.office.fang.com/shou/3_241997121.html,中州由广州中轻新洲房地产开发有限公司兴建，地处广州国际会展会展核心，是专为采购商户及参展商户准备的集商、住、展为一体的国际式写字楼。项目由澳洲设计公司demdesign担纲物业设计，由广州一洲物业管理有限公司提供物业管理。《本案基本情况》1）?面积信息：101㎡，70%得房率2）价格：26500元/㎡3）装修情况：高等装修，可分割；4）朝向景观?：西北向一线江景5）楼层信息：?中区（共26层）《大厦基本情况》6）本案为中洲center北塔，2005年落成7）空调独一控制，管理费：夏天22元/冬天11元8）地下停车1000元每月，临时12元9）距离地铁《琶洲》站D出口300米更多盘源： 中洲南塔 85-100 中洲北塔 100-110 中洲交易 95-110 保利世贸E座  115-130 保利世贸C座  115-130 保利世贸D座  90-100 国际采购 70-80,毛坯(可分割)
简装修(可分割),甲级,102㎡,津滨腾越大厦地处珠江新城门户。华夏路与华强路交汇处，北临黄埔大道约50米，西连广州大道约150米，东接华南快速干道约2000米。三核商圈辐射，全能配套完善，尽享珠江新城商圈、天河北休闲购物商圈、琶洲会展商圈三核商圈辐射，彰显不可比拟的商务办公区位优势，同时一公里内五星级酒店、银行、大型购物中心、体育中心等服务配套设施一应俱全。,"['广州', '天河', '珠江新城西', '津滨腾越大厦']",(28500元/㎡),2019/8/21 20:53:38,16.00元/平米·月,低区(共30层),"津滨腾越大厦高层小户型出售个人可以购买,自主自用中",291,https://gz.office.fang.com/shou/3_241623853.html,出售单位产权清晰、可以按揭、可以个人购买！ 珠江新城在售笋盘： 富力盈信265方、34000元/方各付各税 保利克洛维：213方33000元/方、690-1100方、36000元/方 环球都会：124-1600方、39000元/方 双城国际高层：整层752方：23000元/方实收 富力盈凯：高层182方、40000元/方 邦华环球都会：2300-11000方、54000元/方 富力盈隆：2280方、30000元/方各付各税 广州银行大厦：2500方、58000元/方 天盈广场：180-1100方、56000元/方 本公司代理越秀、天河、珠江新城、海珠、番禺的楼、、住宅、别墅，包括一手新楼和二手租赁买卖、有需要请联系、如果您需要深圳、珠海、香港等其他地区的物业，也可以代理！,
纯写字楼,甲级,139㎡,"VILI威尼国际建筑于广州天河北林和西路的西侧，东邻广州火车东站，南接中泰国际广场，西靠广州军事体育学院，北瞰火车东站站台及广园东路。
      威尼国际坐镇广州新城市中轴线，总占地面积近6000平方米，总建筑面积8.6万平方米，威尼国际地上部分共三十一层, 一、二层是商业功能, 三层架空层，四至三十一层为写字楼和酒店式公寓。项目总套数1218套。","['广州', '天河', '天河北', '威尼国际大厦']",(21000元/㎡),2019/8/13 15:28:12,13.00元/平米·月,低区(共32层),北望白云山，威尼139方，交吉，或自用均可,292,https://gz.office.fang.com/shou/3_241392918.html,本周精选单位：威尼国际大厦 地址：天河区体育中心林和西路167号楼层: 层面积：  139 方价钱：   21000元/方管理费： 写字楼：13元/平方；：4.8元/平方室内装修：1个经理室、2个会议室、1个40人的区建议行业：电商、IT、科技、物流、金融大厦交通：地铁1/3号线，多路公交,简装修(可分割)
纯写字楼,甲级,100㎡,保利世界贸易中心为广州市保利国贸投资有限公司投资兴建的一个项目，总建筑面积超过50万m2，地上建筑面积为37万m2。其中9.48万m2博览馆，拥有4020个展位，可举办各类国际大型展会；特设的9.25万m2“lifestyle”品牌展示馆，为企业提供品牌展示特区。,"['广州', '海珠', '琶洲', '保利世界贸易中心']",(27000元/㎡),2019/7/13 11:23:43,6.00元/平米·月,低区(共45层),保利世贸100方 仅270万 收租9000,270,https://gz.office.fang.com/shou/3_240496759.html,"睿宇地产  置业陈永扬               欢迎您来到我的店铺，很高兴为您服务！公司简介睿宇地产是一个值得您信赖的交易平台，公司秉承以客户为导向的服务理念，以客户成功作为我们的服务目标，在交易的每个环节中力争使客户体验优值的服务，我们坚信取得客户成功是我们追求长远可持续发展的基石。  													房源 													   户型正气 -  北向,简装，楼经典明厨明卫，格局周正合理，无浪费面积！   -  270万，100 平，业主自住，风格清雅别致!  采光充足 -  楼间距大，无遮挡，采光棒！个人介绍 													   欢迎您致电，我是睿宇地产的置业顾问。很高兴能用自己的专业知识为您服务，为您带来愉悦的购房之旅！					无论价位、户型或周边信息我都可以为您做专业详细的介绍，为您买房卖房租房提供高品质一条龙服务，您的满意是我们工作的大动力!",毛坯(不可分割)
