,locations
146,南窑地居委会
147,密云沿湖东口
148,柳条湾
149,孟祖北口
150,红军营路口南
151,桥梓政府
152,刘斌堡乡
153,九街坊社区
154,昌平妇幼保健院
155,东辛房东街居委会
156,星城第二社区
157,同义庄村
158,卸甲营
159,韩营农场
160,司家坑浮摊
161,水南庄东
162,排字岭
163,郎各庄村
164,北汽国际会议中心
165,郁花园二里社区
166,北京会议中心
167,复兴里西口
168,吉照胡同
169,孟端胡同
170,头道穴
171,车辆胡同
172,古老月季园
173,南路东里社区
174,永泰北里社区
175,小羊坊
176,明堂大院
177,化肥厂
178,呼家楼南
179,冰窖厂胡同
180,南曹营村
181,城隍庙
182,官道
183,天兆家园社区
184,南湖西里社区
185,下口村
186,后银子村
187,上林苑社区
188,保安庄西口
189,五条社区
190,菜园街社区
191,石河营西社区
192,胡家庄
193,邵陵村
194,茄子胡同
195,化工厂家属区
196,大兴半壁店北站
197,新平路
198,福上村
199,白家疃社区
200,南河楼
201,三角地第一社区
202,沙沟路口西
203,亮马厂
204,龙泽苑东区社区
205,八里庄南里
206,昌平东关南里小区南门
207,桥梓信用社
208,石灯胡同
209,北老君堂
210,柳荫街
211,太阳村农场
212,爨底下村
213,李遂镇陈庄
214,大旺务南
215,小东流村
216,北京一四二中学
217,北沙滩
218,八达岭滑雪场
219,发电站村
220,东辛房
221,东胜胡同
222,总部胡同
223,河庄村
224,高家庄村
225,张喜庄东口
226,鲁庄村
227,西槐庄
228,香水峪村
229,河奎
230,东文昌阁
231,地铁三元桥站
232,密云北站
233,后桃洼村
234,潘庄
235,渤海镇北台子
236,新明家园社区
237,两河路口
238,北京交通大学东门
239,西定福庄南口
240,剃头栅
241,小屯西路南口
242,大铜井胡同
243,南文昌胡同
244,八宝楼胡同
245,团山
246,安华桥
247,燕郊冶金一局
248,大峪子
249,上板泉村
250,郎各庄
251,苇子水
252,高教书库
253,清逸园
254,前南台
255,下郝庄村
256,中关园北站
257,二零一所
258,东步粮桥
259,火器营桥西
260,中医院燕山分院
261,三洋
262,天堂河公墓
263,密云汽车站西行
264,花乡乡
265,瓦山
266,永定路社区
267,桃峪口村
268,护工培训中心
269,营城村
270,马庄子北站
271,东高地社区
272,马安
273,芦城乡政府
274,天鸿花园第一社区
275,北大地村路口
276,大厂永安小区
277,海淀南路西口
278,松树峪村
279,棺材胡同
280,西四路口东
281,司空居委会
282,白家疃村
283,牛街礼拜寺
284,茶坞铁路桥
285,八十庙地
286,水墨林溪
287,天华东路
288,常兴庄路口
289,北辰西路北口
290,清河街道
291,东养马营胡同
292,林河西站
293,静安里
294,水口子村
295,城子村
296,北关环岛
297,穿草峪
298,大紫草坞村
299,万源东里社区
300,庑殿二村
301,嘉大家园社区
302,南菜园总站
303,谷家营
304,朱辛庄东路
305,西王化营路口
306,史家胡同
307,车站街居委会
308,驻马庄
309,新城子医院
310,和合站
311,麒麟碑胡同
312,永泰园第二社区
313,顺义河北村
314,白庙村
315,安里
316,夏场北站
317,塔河
318,高崖口村
319,凤凰亭
320,聚酯厂
321,塔营村
322,平谷镇建设银行
323,国航地服
324,马坊开发区
325,裕民路社区
326,密云老城墙
327,长流水村
328,西尹家府
329,建新北区第二社区
330,西山口超市
331,垡上小学
332,西广德庄
333,小周各庄村
334,骆驼胡同
335,狼垡三村
336,西坨古村
337,七院家委会
338,前罗圈胡同
339,白盆窑村
340,八仙庄东
341,鱼子山村委会
342,玉泉园
343,西定安村
344,小沙土园
345,涉外学院
346,辛屯
347,丽泽桥南
348,月光胡同
349,东石门
350,三环新城英和医院
351,北尚乐村
352,昌平东关环岛北
353,丽泽桥东
354,二平台
355,聚福园小区
356,地下通道路口
357,沙坨村
358,南区第一社区
359,乃干屯村
360,沟东
361,房山太平庄
362,东高各庄村
363,佛子庄政府
364,麦子店街道
365,瓦沟
366,采育镇
367,珊瑚胡同
368,上地环岛南
369,沿河村委会
370,暖全会一站
371,甘家口街道
372,森水村
373,西四北三条社区
374,风箱胡同
375,白水洼
376,下湾村
377,太子墓村
378,东苇路北口
379,康和园小区北
380,大狼垡村
381,车坊
382,运河湾小区
383,现代
384,德内甘水桥
385,海关大楼
386,槐房西路
387,怡美家园社区
388,临河北站
389,刘各长村西
390,兴化路
391,秦城大桥
392,玉泉路北口
393,王化村
394,太和庄东村
395,北宅
396,梅市口路
397,将军关
398,鞍子沟村
399,于南村
400,北京太阳城
401,万寿西宫
402,主卡口首末站
403,润泽庄园小区
404,西湖
405,流河沟桥
406,泰河园二里
407,广宁街道
408,海户屯社区
409,太和庄西村
410,凌家吴村
411,长椿里社区
412,清源西里
413,花卉市场
414,白菜湾社区
415,樱花园社区
416,黄土板子
417,亦庄中心小学
418,胡店
419,江场村
420,苏家坡胡同
421,板井路东口
422,三家店火车站
423,现代学院
424,青云店三村一村
425,田村北路临时站
426,钓儿胡同
427,沟渠村口
428,河泊厂胡同
429,双栅栏胡同
430,去碑营村口
431,天河驾校
432,华都饭店
433,绣菊园居委会
434,西红门公交场站
435,臭皮胡同
436,张伍堡
437,刘娘府南站
438,芹峪
439,绿荫小区
440,团山村
441,定福黄庄南
442,葛布店南里居委会
443,巴各庄
444,赵营路口
445,盆窑村口
446,车检所
447,苗家堡村
448,西土城路号院社区
449,张辛庄路口
450,小新开胡同
451,旧县镇
452,美术馆社区
453,山口庄村
454,顺义西单大卖场
455,平谷马各庄东口
456,西三旗桥北
457,大平地
458,北头社区
459,纬缨胡同
460,师子营
461,智义伯大院
462,汤公胡同
463,楼梓庄桥西
464,柏福村
465,东环北路
466,龙湖长楹天街
467,北石槽镇
468,四窝铺
469,大兴桥东
470,西罗园南里华远社区
471,杨家洼
472,辛安屯村
473,香山公园
474,樊家村
475,罗家胡同
476,鑫福里社区
477,东定福庄村
478,皇后店北站
479,永兴社区
480,良乡伟业嘉园
481,莱圳家园
482,汀章胡同
483,太和西园
484,天鑫佳园社区
485,融景城东门
486,瓦官头村
487,万柳中路南口
488,汤锅胡同
489,桥梁厂社区
490,红居南街社区
491,景山东街
492,北宅村东
493,石幢
494,香堂路口
495,花椒树社区
496,赵家庄村
497,礼贤镇
498,北洼路西里
499,亚太花园酒店
500,霍营乡
501,石花洞道口
502,黄管屯
503,羊坊村
504,大外廊营
505,堡子山
506,驸马庄
507,二道沟村
508,北京四中
509,杨林水
510,豆各庄新村
511,黄厂
512,闵庄
513,贵园小区
514,郭家坞路口
515,大烟筒胡同
516,太仆寺街社区
517,二龙路北口
518,人民村北站
519,黄垡北站
520,表杆胡同
521,于庄东沟
522,齐家庄村
523,罗家峪路口
524,河南寨派出所
525,树荫胡同
526,老干部局
527,马驹桥二号桥
528,劲松中社区
529,培英胡同
530,薄各庄
531,黄各庄村
532,宝城客运加油站
533,三渡
534,南上岗村口
535,薛营南站
536,四合庄村
537,砖楼村
538,丁甲庄
539,杨乙伯胡同
540,阳光社区
541,密云新汽车站
542,沙坨东
543,东营房社区
544,海子角南里社区
545,苏宁电器
546,胡辛庄
547,中堡北站
548,永合庄西
549,机场宾馆
550,连连房
551,北化各庄村
552,地铁崔各庄站
553,东陈各庄村
554,驹章胡同
555,丰台东大街
556,大柳树营村
557,前高米店村
558,东沙屯南
559,龙源别墅
560,大角峪
561,鲜鱼口街
562,大宅路口
563,八角路
564,慈寿寺桥南行
565,盔甲厂
566,苏州桥
567,组干学院站
568,双红居委会
569,白石桥东
570,水泥厂
571,永宁南关东
572,北京九所社区
573,京科苑
574,长阳滨河公园
575,国医康
576,黄松峪水库
577,石俯路西
578,大兴二职西
579,前泥洼
580,圆清路北口
581,鸳鸯水村
582,九龙花园北
583,大回城
584,三家店村
585,水漳村
586,北广社区
587,牛角峪路口
588,苏庄村
589,栗园厂村
590,花园村
591,长丰园一区
592,西马庄村
593,乐园庄村
594,文华西路北口
595,开古庄村
596,朝林大厦
597,二道栅栏
598,东坨村
599,清源西口
600,黄草湾
601,冯村南口
602,白龙潭
603,定南里社区
604,双桥东
605,八达岭镇
606,东街社区
607,南沟泥河
608,念坛村
609,窑洼湖桥北
610,柳林水村
611,金华实业
612,五斗斋
613,前海西街
614,板桥社区
615,大皮营三村
616,大剧院
617,木樨园第一社区
618,解放军263医院
619,百旺新城
620,丽园路公交场站
621,小漕村桥头
622,温都水城
623,坨里村
624,左所屯
625,南口人行
626,四拨子
627,华都肉鸡厂
628,厢黄旗
629,博大公园
630,雁栖镇
631,体育场小区
632,乃干屯南
633,俸伯
634,香留园小区北
635,西场村
636,通州中医院
637,龙跃苑四区西门
638,乐园路口南
639,前海东沿社区
640,琉璃庙路口
641,石城东
642,砖儿胡同
643,妫川购物中心
644,龙腾园四区东北门
645,新华街北社区
646,松林里社区
647,模式口西里南区社区
648,小泥湾社区
649,西木小区社区
650,小羊坊西口
651,中滩
652,燕园街道
653,电力大学
654,小武基
655,开阳里第一社区
656,关辛庄村
657,苇坑胡同
658,龙锦苑六区西门
659,车耳营村
660,将军坨
661,马坊社区
662,长河桥
663,新源里社区
664,北京理工大学良乡校区
665,邓各庄村
666,阳坊镇政府
667,二道关牌楼北
668,下念头村
669,白桥西里社区
670,昌金路口
671,北京康心体育乐园
672,营城
673,岳庄村
674,北苑路大屯北站
675,钉子所
676,大兴中医院
677,永嘉北路
678,上花楼
679,方庄环岛北
680,南海家园五里南门
681,小堡西口
682,对外经济贸易大学
683,八一厂社区
684,治国胡同
685,山东庄村
686,小水峪
687,马家堡西里第二社区
688,大洼路口
689,魏善庄镇吴庄
690,广顺南大街南口
691,沙峪
692,贾峪口村
693,北街家园六区西门
694,大高力庄村
695,核桃洼
696,重聚园小区
697,北堂子胡同
698,长哨营乡三岔口
699,营房村
700,泰河三街西口
701,上庄东小营东口
702,开发区大桥
703,长辛店医院
704,后礼务村
705,太扬家园社区
706,水库洞口
707,甘家口大厦
708,瑞王坟
709,平谷马坊
710,宏道村
711,西甘池村
712,大柳树北站
713,达智胡同
714,八里庄北里
715,国际公寓
716,冯家峪村
717,大孙各庄镇
718,中国政法大学北门
719,十三陵胡庄社区
720,顶秀青溪小区
721,三庙街社区
722,芳草地
723,大慧寺社区
724,东李庄村
725,嘉城花园小区
726,荣昌东街
727,白石桥北
728,东栓马桩
729,柏树胡同
730,宁村新桥
731,玉甫上营村东口
732,立军路东口
733,后沟村
734,小苑村
735,南火垡
736,庄头峪一站
737,西达摩
738,粉厂胡同
739,雁栖开发区汽车站
740,永安堡村
741,后牛坊村
742,雁栖地区
743,志新社区
744,小东各庄村
745,广安市场
746,广场东门
747,园博园四号门
748,小煤厂社区
749,黑古岩
750,白庙新村
751,科创十二街
752,二七厂
753,塔四会二站
754,东合盛
755,鲜鱼口
756,新开
757,新东山居委会
758,卫生院
759,建功北里社区
760,大石村
761,水关路口东
762,商场
763,万子营西队村
764,东风社区
765,工厂联合社区
766,牛站村
767,北京化工四厂
768,鹿圈三村
769,秦武姚西
770,老山南路
771,南华园三区社区
772,河庄村委会
773,柳荫街社区
774,横栅栏
775,前营
776,北土城东路
777,豆各庄路口东
778,新镇街道
779,昌平涧头村
780,魏善庄红绿灯
781,张镇张各庄
782,后鼓楼庵
783,白道峪
784,寺上大桥
785,北京电子科技职业学院
786,聂各庄
787,阜外西口
788,和合站村
789,密云四中
790,靛厂新村
791,左安门外
792,黑古岩牌楼
793,卢沟桥农场
794,大红门集美家居
795,聚富园
796,行宫小区
797,赵勾子村
798,兴谷管委会路口
799,自由街村
800,培新街
801,孛罗营
802,西宋各庄路口
803,文昌宫
804,胡家垡村
805,西智村
806,前桃园
807,渤海所村
808,木樨园第二社区
809,沙河西站
810,色树坟居委会
811,黄南苑社区
812,南山东营二村
813,通州少年宫
814,马泉营商场
815,白浮泉西口
816,常营第二村
817,顾册
818,南榆钱胡同
819,顺义马家堡
820,康营家园二十五区南门
821,博兴八路北口
822,西唐社区
823,阳光南大街
824,阔带胡同
825,密云沿湖小区
826,郝家府村
827,清华阳光西门
828,后甫
829,安贞桥东
830,土桥城铁
831,回龙观医院北
832,马驹桥新桥
833,小川南头
834,后池北口
835,怀柔三中
836,千家店
837,水厂路社区
838,会能
839,潞城营
840,小黄塘
841,航安路
842,北河胡同
843,凤落滩村
844,辛营
845,大臧村
846,砂石厂
847,公议庄小学
848,香江北路西口
849,大村涧村
850,田城社区
851,西白莲峪村
852,世纪城西区社区
853,延庆供电局
854,焦家坟路口西
855,金海社区
856,北洛平村
857,于辛庄
858,大碓谷
859,李庄东
860,北极阁胡同
861,协各庄
862,张家务村
863,广渠门北水关胡同
864,电力大学南门
865,新王峪
866,新安里
867,沙锅村
868,赵家庄
869,黄杉木店路南口
870,恒利街中
871,昊天小区社区
872,学知桥北
873,三条街村
874,顺义五中
875,南良各庄村
876,鱼林口
877,东管头社区
878,上水沟
879,三里河
880,东湖港
881,前进社区
882,钥匙胡同
883,五渡河
884,芳源里
885,索家坟社区
886,石板台西
887,崔村镇八家
888,平西王府西站
889,流星花园三区西门
890,交界牌
891,中干渠路口
892,云居寺
893,喇叭胡同
894,电建居委会
895,张家坟社区
896,西台上村
897,新星社区
898,太子府村
899,车道沟桥东东行
900,北火扇胡同
901,中羊坊
902,财政局路口
903,密云检测场
904,亚新特种建材公司社区
905,同济南路
906,北四道岭村
907,马连店铁匠营
908,齐庄
909,中富乐
910,榆垡路东口
911,渤海所
912,延庆公路局
913,马连道西里
914,前章胡同
915,爱尔比公司
916,花峪
917,西关农贸市场
918,八步口
919,牌楼馆胡同
920,天宁寺电管局社区
921,荊梢坟
922,西潞园
923,老君堂路口
924,大红门东街社区
925,汇佳学校
926,西杭子
927,寨口
928,聂各庄南
929,车南里社区
930,南法信地区
931,军需站
932,北店嘉园东站
933,小邓村
934,垡头桥西
935,孝义营
936,水坡东站
937,虎坊桥
938,四路通社区
939,双塘涧灵山景区
940,王庄路口
941,陶营路口
942,怀柔商业街西口
943,研究生院社区
944,稻田村南
945,西马尾帽胡同
946,云岗街道
947,程家窑村
948,中国邮政
949,三间房村
950,三家店西口
951,贤王庄
952,下西市
953,黄家山
954,下辛堡村
955,新建香海园顺驰领海社区
956,东关南里小区南门
957,丰各庄村
958,修造厂路口
959,长阳体育公园
960,三塔社区
961,丁章胡同
962,曹管营
963,杨镇地区
964,变压器
965,车道峪村西
966,黑山北口
967,城铁沙河站
968,下寺
969,通州北苑地铁
970,二十里铺
971,水碓路口南
972,平安聚源建材市场
973,东大屯
974,向阳口村
975,好运农庄
976,南口车站
977,肖林
978,骑士乐园
979,平房西口
980,旧县镇古城路口
981,常营第七村
982,中国农业大学东校区
983,翠微东里
984,谷庄
985,杨家堡二站
986,北石家村
987,云龙涧风景区
988,模式口西里北区社区
989,香堂西
990,物美超市
991,科创十七街
992,广渠门北里社区
993,复兴村
994,时代庄园东站
995,菜辛庄
996,南苑机场家属区
997,窦店镇
998,东胡林
999,靓景明居
1000,流星花园
1001,天通苑南
1002,燕北畜牧机械厂
1003,后楼胡同
1004,石厂
1005,空军指挥学院社区
1006,南正西
1007,于家台村
1008,港馨家园
1009,三顺庄村
1010,通州三间房西
1011,东新华社区
1012,延庆太平庄
1013,八亩堰村
1014,花园社区
1015,魏善庄火车站
1016,庄户峪
1017,二平台村
1018,兴基铂尔曼饭店
1019,杨各庄村
1020,金桥嘉苑
1021,暖泉会一站
1022,鹿圈乡西行
1023,正阳北里社区
1024,后沙峪政府
1025,瞧煤涧村
1026,王宝川
1027,大北关村
1028,雅成里居委会
1029,小沙土园胡同
1030,周营北口
1031,五芳园
1032,科学院小区
1033,西营村
1034,白土沟村
1035,留题迹胡同
1036,东方大学城联大教学楼
1037,食品站
1038,第二社区
1039,高卧胡同
1040,荆坨村
1041,延庆下辛庄
1042,圣水头
1043,房山区辛庄
1044,鑫方盛
1045,罗奇营加油站
1046,东周各庄
1047,朱家务村
1048,云泽山庄
1049,三星庄
1050,东白瞳
1051,长凌营
1052,沿河359车站
1053,河北辛庄
1054,礼花厂
1055,康顺园社区
1056,第二外国语学院
1057,漆园村
1058,北正村口
1059,晏子村
1060,下禅房村
1061,大市胡同
1062,牛栏山道口
1063,河北头
1064,马家屯村
1065,长子营工业区
1066,西坝河南路
1067,东风北里社区
1068,菩萨鹿村
1069,沙滩营西
1070,北章村
1071,顺义九中
1072,西峪村
1073,铁桥
1074,后南台
1075,地铁荣京东街站
1076,东五里营村
1077,杨家园
1078,巨各庄村
1079,南坞
1080,熊耳营村
1081,天通北苑一区南
1082,南海家园七里
1083,协和医学院
1084,三龙建材
1085,厚俸村
1086,北独乐河
1087,景园街
1088,北篦子胡同
1089,银冶岭路口
1090,前营房
1091,公益东桥西
1092,经海路
1093,工商总局南站
1094,番字牌村
1095,碱厂村
1096,魏太务北口
1097,小西庄村
1098,晓月苑小区南
1099,太子府
1100,八角西街
1101,祁家豁子南
1102,乐全胡同
1103,皮各庄西口
1104,安宁北路社区
1105,参政胡同
1106,马道峪白马
1107,教委小区
1108,甄荐胡同
1109,再城营
1110,七区社区
1111,亢山社区
1112,王四营乡
1113,南水关胡同
1114,东樊各庄
1115,机场服务中心
1116,前焦家务村
1117,兰花苑西路北
1118,东四路口南
1119,召里村
1120,海鶄落
1121,花梨坎
1122,北沟村
1123,红民村
1124,小渔阳总站
1125,龙头
1126,安定工业开发区
1127,团泉工业区
1128,广安门北南行
1129,小红门
1130,公益西桥北
1131,琉璃庙镇草场
1132,汤河口
1133,后陆马庄村
1134,千家店卫生院
1135,双楼村
1136,景盛南二街
1137,康西草原
1138,孙河地区
1139,建新南区第二社区
1140,民主街
1141,昊天嘉园
1142,兴隆庄小学
1143,东山坡社区
1144,衙门口南社区
1145,大石岭南站
1146,董各庄路口
1147,长陵镇北庄
1148,良乡开发区
1149,永顺西街
1150,交大东路北口
1151,首体南路南口
1152,城东社区
1153,陈家营村
1154,南张岱西口
1155,塔沟
1156,双鱼胡同
1157,大沟
1158,香水峪二站
1159,西杜兰村
1160,白塔庵东
1161,西苑社区
1162,建筑工程机械厂第一家委会
1163,上中院
1164,紫绶园居委会
1165,东方大学城大讲堂
1166,裟衣寺胡同
1167,庙城镇政府
1168,西道口公交场站
1169,天通苑塔楼
1170,北庄村
1171,新桥大街
1172,西智义胡同
1173,边怀庄村
1174,四季青桥南
1175,唐自头村
1176,李遂
1177,水电新村
1178,万泉寺村
1179,开拓路北站
1180,小峪
1181,牌坊胡同
1182,顺义古城东大街
1183,巨山村
1184,三渡河
1185,高庙屯村
1186,旋马胡同
1187,北京航空航天大学
1188,民族中学
1189,华威里社区
1190,柴厂屯镇
1191,大兴宾馆
1192,罗家井
1193,郝家湾
1194,北刘各庄村
1195,吉祥社区
1196,北四居委会
1197,顾家庄
1198,西铁匠胡同
1199,龙旺庄学校
1200,中国科技馆
1201,东利市营胡同
1202,唐家岭新城
1203,海字口北口
1204,道口
1205,魏各庄
1206,东蒋村
1207,魏善庄镇王各庄
1208,金星西路
1209,诸葛营南
1210,化园子
1211,南杨家桥村
1212,统军庄路口
1213,太平胡同
1214,常各庄
1215,后棒伯
1216,东坝中路南口
1217,延庆北站
1218,大草厂
1219,天宁寺南里社区
1220,于地西口
1221,甘露园
1222,红寺
1223,交道口南三条
1224,赵各庄村
1225,南口建行
1226,小翔凤胡同
1227,高米店南
1228,东沙各庄公交场站
1229,阎仙垡
1230,苏庄东街北口
1231,清源路西口
1232,粮库
1233,西长安街
1234,水库管理处
1235,星河居委会
1236,千军台坑
1237,密云果园
1238,安定医院
1239,挂甲屯社区
1240,兰园社区
1241,驸马庄村
1242,梁各庄
1243,南大街东口
1244,古北口镇
1245,闫村政府
1246,思邈路东
1247,张凤路北口
1248,生命园西环路北站
1249,南阳村
1250,黄村火车站东
1251,大兴西直河
1252,祁家豁子健翔桥南北行
1253,兰花苑西路
1254,南达峪
1255,白云寺新区南口
1256,东牛角峪
1257,洋桥东里社区
1258,六合庄村
1259,小罗山
1260,洪村
1261,务滋南口
1262,赵庄户村
1263,北海北门
1264,红螺镇村
1265,五里店第一社区
1266,公益东桥北
1267,海子角东里社区
1268,西王庄社区
1269,圆明园西路北口
1270,千顷堂
1271,行宫小区东门
1272,东菜园社区
1273,师家坟
1274,望都花园社区
1275,绵山西口
1276,西树行
1277,密云县工会
1278,上万南站
1279,丽景馨居社区虚拟
1280,莲芳桥南
1281,北月芽胡同
1282,新世纪学校
1283,西黄城根南街
1284,梨园庄村
1285,云佛山滑雪场
1286,史家营乡
1287,德茂庄
1288,张家湾镇大辛庄
1289,密云李家峪
1290,刚毅胡同
1291,大柳树营
1292,陶然亭
1293,顺义西门
1294,丽泽桥
1295,三四营村
1296,凯超检测场
1297,甄家胡同
1298,火器营
1299,泰河路口南
1300,安居小区
1301,垡上营村
1302,夏各庄新城
1303,大庙
1304,杨桥道口
1305,东八角胡同
1306,庄头峪二站
1307,阿苏卫村
1308,定慧桥西
1309,口头
1310,三眼井
1311,白虎头
1312,颖泽洲社区
1313,坨里东站
1314,文慧园路
1315,寺上村委会
1316,西大桥油站
1317,望楚
1318,东壁营胡同
1319,沙阳路口
1320,岳各庄东路北口
1321,紫南社区
1322,菜户营桥
1323,北太平路口西
1324,清水河桥头站
1325,搬迁户
1326,八大处公园
1327,海字口村
1328,庆新胡同
1329,龙兴园北区社区
1330,大草岭村
1331,坡头东街社区
1332,前银子
1333,月坛北街南社区
1334,东王佐北
1335,龙旺庄小区北口
1336,宏达工业园
1337,车站路
1338,小老菜街
1339,东村家园东门
1340,通州东关
1341,玉泉营桥南
1342,城铁立水桥站
1343,仪表厂
1344,将军关新村
1345,望京北路东口
1346,西堂子胡同
1347,雁翅镇
1348,西太平庄
1349,和平里中街
1350,山吧
1351,穆家峪
1352,糖房胡同
1353,玉林西里社区
1354,恋日绿岛南门
1355,万窑路北口东
1356,花盆
1357,长城润滑油公司社区
1358,金鸡台村
1359,南花枝胡同
1360,赖马庄
1361,公议庄村
1362,宝碾公路
1363,晓顺胡同
1364,香雪兰溪东门站
1365,陈庄村
1366,南口大堡
1367,榆平路
1368,林河路口
1369,高家岭
1370,芦城
1371,英各庄
1372,京北车辆管理所
1373,七孔桥
1374,柏崖厂
1375,北科大社区
1376,北顿垡北
1377,建新庄
1378,便民街东口
1379,北大地西区社区
1380,军屯西口
1381,东明化学公司
1382,李庄
1383,夕照寺街北口
1384,药材公司
1385,东邵渠镇
1386,金叵箩
1387,水岸南街东站
1388,商务会馆
1389,千禧鹤集团
1390,水关新村
1391,陈家胡同
1392,西田各庄
1393,北京第二外国语学院
1394,惜薪司胡同
1395,东鲍辛庄
1396,铁东社区
1397,香河园街道
1398,忻州营
1399,公益东桥
1400,德胜门外
1401,油漆作
1402,大十三里
1403,长店小区中街
1404,梁家园村
1405,魏家店村
1406,茶家屯居委会
1407,东将村
1408,小泥河村
1409,北孙各庄
1410,东田各庄村
1411,罗家井胡同
1412,良乡陶瓷厂
1413,南门灯岗
1414,后蒲
1415,马神庙西
1416,愉景苑小区
1417,顺沙路秦北路口
1418,天通中苑西区东门
1419,矿林庄路口
1420,衣袍胡同
1421,五爱屯西街南口
1422,三营门南
1423,北汽南门
1424,受水河胡同社区
1425,白庙胡同
1426,北京动物园
1427,大龙门村
1428,红军庄
1429,古洞沟村
1430,田何庄
1431,韩郝庄村
1432,北庄户
1433,石古岩
1434,城关一中
1435,槐房村
1436,后大营
1437,南法信中学
1438,西沙窝村北
1439,张家坟北
1440,南门仓胡同
1441,黑山扈
1442,东灰岭
1443,丽水园
1444,房山于庄东
1445,东闸
1446,鼓楼苑
1447,夏场南站
1448,延庆旧县
1449,尹家河村
1450,丰润中路
1451,北石槽村
1452,昌平五中
1453,北上营村
1454,前桃园胡同
1455,水仙西路路口东
1456,良乡阎村桥
1457,南新平胡同
1458,宏福路
1459,三元庵
1460,临河路口
1461,南老君堂
1462,西石府村
1463,门头沟
1464,石佛营西里一居委会
1465,向阳街道
1466,西井路西口
1467,地大第二社区
1468,小营村南口
1469,天堂公墓西
1470,东灰岭村
1471,东屯
1472,清河营南街
1473,燕东园社区
1474,燕化换乘中心
1475,南法信站
1476,下纸寨1
1477,顺义马连店
1478,达峪沟路口
1479,豆畔池胡同
1480,西关社区
1481,西湾子
1482,不老屯政府
1483,下店村
1484,煤炭交易所
1485,石门市场
1486,度假村
1487,山峡
1488,金星桥
1489,三岔河北站
1490,上郝庄
1491,单店西村居委会
1492,大鲁店二队村
1493,渤海所卫生院
1494,水碓子社区
1495,安定镇
1496,北京柳荫公园
1497,东磁
1498,海淀交通支队
1499,半壁街村
1500,崇各庄路口
1501,恒日事业园
1502,空港小学
1503,北皋村西口
1504,号院居委会
1505,珍珠泉乡八亩地
1506,张辛庄社区服务站
1507,月亮湾小区
1508,玉林里社区
1509,珍珠泉乡山东沟
1510,花园小区南
1511,白纸坊桥南
1512,永宁南关
1513,罗家坟
1514,岳家坡村
1515,尚庄子
1516,菜市场
1517,下苑
1518,康家胡同
1519,华威南路
1520,高米店北
1521,复兴南里居委会
1522,三伯老胡同
1523,中滩村
1524,八角南路东口
1525,紫微星
1526,沿河车站
1527,中灿苑小区南门
1528,马莲桥
1529,聂各庄村
1530,暖泉峪二站
1531,坨头庙村
1532,梁家胡同
1533,七里渠北村
1534,焦沙环岛南
1535,西大望路南口
1536,天庆宫
1537,椴树岭
1538,张仪村
1539,同仁医院亦庄分院
1540,南彩派出所
1541,马三街村
1542,大鲁店三队村
1543,石园街道
