cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu,shiyongmianji,location_coords,city
4.20米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",3536㎡,10.00米,"罗湖,人民南,云峰花园",云峰花园商铺,云峰花园,90.00米,2019/7/26 15:17:40,15.00元/㎡·月,住宅底商,是,休闲娱乐,罗湖火车站附近临街商业裙楼业主诚心出售带高租约,7100万,https://sz.shop.fang.com/shou/3_220283164.html,简装修,3500㎡,"114.122969,22.538323",深圳
7.00米,第1层(共1层),,91㎡,8.00米,"南山,蛇口,招东小区",南山区蛇口招商东路50号,招东小区,10.00米,2019/8/17 12:24:23,0.00元/㎡·月,其他,否,,蛇口自贸区核心位置 转角三门面靓铺 本人只发真实有效盘源,1200万,https://sz.shop.fang.com/shou/3_220948005.html,精装修,,"113.929751,22.492351",深圳
7.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",51.23㎡,8.00米,"南山,蛇口,太子湾商务广场",太子湾邮轮母港,太子湾商务广场,6.00米,2019/8/31 10:08:50,40.00元/㎡·月,商业街商铺,否,万能铺无业态限制,蛇口太子湾原始股 双地铁无缝连接 香港兰桂坊招商,1490万,https://sz.shop.fang.com/shou/3_221327589.html,毛坯,,"113.910894,22.475820",深圳
4.00米,第1层(共1层),"客梯,货梯,扶梯",90㎡,7.00米,"罗湖,东门,南塘商业广场",南塘商业广场10地块永新街1号,南塘商业广场,12.00米,2019/8/28 10:55:11,0.00元/㎡·月,商业街商铺,否,百货超市,东门町 步行街转角靓铺，月租12万,2430万,https://sz.shop.fang.com/shou/3_221248782.html,简装修,,"114.118390,22.544600",深圳
3.00米,第1层(共1层),,200㎡,3.00米,"龙华区,龙华,苹果园",龙华镇梅龙路与龙胜路交汇处,苹果园,5.00米,2019/7/20 11:21:37,0.00元/㎡·月,其他,否,,业主年尾急需资金，大转角的位置，低于原价2万，4厘,1800万,https://sz.shop.fang.com/shou/3_220087340.html,毛坯,,"114.029136,22.638516",深圳
6.00米,第1层(共1层),暖气,217㎡,18.00米,"南山,华侨城,京基御景东方",深圳湾区沙河西路与白石路交汇处东北角,京基御景东方,15.00米,2019/9/1 14:26:22,5.00元/㎡·月,住宅底商,是,百货超市,南山白石洲！天虹商场附近！一楼临街餐饮铺！,2800万,https://sz.shop.fang.com/shou/3_221358538.html,简装修,,"113.969719,22.531530",深圳
1.00米,第1层(共1层),,202.57㎡,1.00米,"龙华区,龙华,中海锦城",龙华新区民治街道民塘路与简上路交汇处,中海锦城,1.00米,2019/7/20 11:18:39,0.00元/㎡·月,其他,否,,深圳地铁4号线 无缝接驳商业综合体 广场铺 来电享内部折扣,5882万,https://sz.shop.fang.com/shou/3_220087127.html,精装修,,"114.014230,22.637275",深圳
3.20米,第1层(共7层),"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",9540㎡,30.00米,"福田,福田中心区,会展时代中心",福田中心区滨河路与益田路交汇处,会展时代中心,30.00米,2019/9/2 9:40:29,8.00元/㎡·月,住宅底商,是,百货超市,宝安会展湾·南岸 独栋 霸道位置 商机无限！,41796万,https://sz.shop.fang.com/shou/3_221372868.html,毛坯,,"114.057402,22.527165",深圳
6.00米,第1层(共2层),"网络,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",521㎡,12.00米,"南山,南油,百富大厦",南油大道与登良路交汇处,百富大厦,50.00米,2019/8/31 11:43:40,2.30元/㎡·月,商业街商铺,否,"生活服务,美容美发,餐饮美食,休闲娱乐",《南油地铁口-来福士旁，50米龙头铺，年租264万，买壹层壹层》,6299万,https://sz.shop.fang.com/shou/3_221331986.html,毛坯,,"113.925420,22.510479",深圳
5.10米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",71㎡,13.00米,"宝安,宝安中心区,前海卓越时代广场",前海卓越时代广场,前海卓越时代广场,3.40米,2019/6/22 17:00:08,30.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",一手临街 无缝接驳 欢乐港湾主入口人流必经之路60--90平,1208万,https://sz.shop.fang.com/shou/3_219277863.html,毛坯,,"113.901792,22.569506",深圳
5.10米,第1层(共1层),,59.76㎡,12.00米,"宝安区,宝安,前海卓越时代广场",宝华路与海天路交汇处西南角(宝安区政府..,前海卓越时代广场,5.00米,2019/7/24 7:54:14,30.00元/㎡·月,商业街商铺,否,餐饮美食,前海金融总部核心商业区购物中心餐饮震撼特价1250万,1250万,https://sz.shop.fang.com/shou/3_220198414.html,简装修,,"113.901792,22.569506",深圳
5.50米,第1层(共1层),,240㎡,10.00米,"南山,西丽,云街",创科路与打石二路交汇处,云街,24.00米,2019/9/1 20:22:31,12.00元/㎡·月,住宅底商,是,百货超市,南山留仙洞六大总部基地，云街5线环绕地铁口物+高铁,6500万,https://sz.shop.fang.com/shou/3_221366975.html,简装修,,"114.022027,22.649854",深圳
5.80米,,"暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",955.41㎡,26.00米,"罗湖,东门,太阳岛大厦",太阳岛大厦商铺,太阳岛大厦,50.00米,2019/9/4 1:17:10,7.00元/㎡·月,住宅底商,是,"生活服务,餐饮美食,休闲娱乐",罗湖中心单价4万多6.13厘转角位50米双门面银行铺临街,4600万,https://sz.shop.fang.com/shou/3_221424285.html,精装修,880㎡,"114.124024,22.540406",深圳
7.00米,第1层(共1层),"上水,下水,可明火,排烟,排污",183.6㎡,8.00米,"宝安,新安,灵芝新村19区",宝安新安前进路和兴华二路交汇处,灵芝新村19区,6.00米,2019/8/23 11:16:38,0.80元/㎡·月,住宅底商,否,"百货超市,生活服务,美容美发,餐饮美食,休闲娱乐",宝安灵芝新村拐角铺王20米门面旧改在即 本人只发真实有效盘源,1200万,https://sz.shop.fang.com/shou/3_221116616.html,精装修,,"113.908903,22.565738",深圳
3.00米,第1层(共1层),"网络,暖气,停车位,货梯,扶梯,燃气",88.84㎡,9.43米,"南山,南油,新街口大厦",内环路与南油大道交汇处,新街口大厦,9.43米,2019/8/27 18:07:28,5.00元/㎡·月,住宅底商,是,百货超市,南山南油新街口大厦，租金6.7万，售价1580实收，业主急卖,1580万,https://sz.shop.fang.com/shou/3_221234794.html,简装修,,"113.923739,22.506141",深圳
5.10米,第1层(共2层),"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",86㎡,12.00米,"南山,前海,招商太子湾",太子湾商务广场,招商太子湾,6.00米,2019/9/1 20:21:08,40.00元/㎡·月,商业街商铺,是,餐饮美食,招商太子湾 一线滨海区 11邻居 香港兰桂坊运营 良心价,1978万,https://sz.shop.fang.com/shou/3_221366927.html,简装修,,"113.912679,22.469520",深圳
9.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",126㎡,8.00米,"龙华区,龙华,五米阳光",龙华人民路与和平路交界处,五米阳光,9.00米,2019/7/30 17:26:44,1.90元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",超笋盘 业主急用钱 低市场10万/平 龙华超旺中心地铁口,1350万,https://sz.shop.fang.com/shou/3_220404233.html,精装修,,"114.021832,22.651970",深圳
1.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",3988㎡,1.00米,"南山,南山中心区,中润大厦",南山区学府路1号,中润大厦,1.00米,2019/7/20 18:13:16,2.80元/㎡·月,其他,否,无行业限制,（新盘）带稳定租金93万 低于市场价格5000万 十字路口位,17880万,https://sz.shop.fang.com/shou/3_220101430.html,精装修,,"113.928499,22.526069",深圳
7.00米,第1层(共2层),"网络,停车位,上水,下水,可明火,排烟,排污,燃气,外摆区",516㎡,8.00米,"南山,前海,太子湾LKF",太子湾邮轮母港,太子湾LKF,6.00米,2019/9/4 11:18:05,0.00元/㎡·月,商业街商铺,否,餐饮美食,前海自贸中心，招商蛇口太子湾开售欢迎品鉴,6000万,https://sz.shop.fang.com/shou/3_221431468.html,毛坯,,"113.921926,22.486676",深圳
5.50米,第1层(共2层),"网络,停车位,客梯,燃气",3268㎡,10.00米,"罗湖,人民南,云峰花园",罗湖区友谊路29号,云峰花园,100.00米,2019/9/3 10:47:58,0.00元/㎡·月,商业街商铺,否,百货超市,（金光华旁 银行评估2.8万）现仅2.1万实收 直接联系业主,6862万,https://sz.shop.fang.com/shou/3_221402710.html,毛坯,,"114.122969,22.538323",深圳
5.00米,第1层(共1层),"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",119㎡,5.00米,"龙华区,龙华,合正中央原著",人民路与布龙路交汇处西500米,合正中央原著,5.00米,2019/8/27 17:58:33,5.00元/㎡·月,住宅底商,是,百货超市,龙华民治合正原著，馨悦齿科，1280万实收，清楚业主底价,1280万,https://sz.shop.fang.com/shou/3_221234371.html,简装修,,"114.022166,22.630356",深圳
6.00米,第1层(共1层),"网络,暖气,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",163㎡,10.00米,"宝安区,西乡,天骄世家",锦花路68号,天骄世家,20.00米,2019/8/24 10:30:22,0.00元/㎡·月,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",宝安中心区 天骄世家 转角龙头 铺位汇报率超4厘 诚售！,1157.3万,https://sz.shop.fang.com/shou/3_221142385.html,简装修,,"113.890950,22.587911",深圳
5.50米,第3层(共3层),客梯,876㎡,10.00米,"龙岗,布吉,万科公园里",罗湖北丹平快速与布沙路交汇处；布吉商圈,万科公园里,87.60米,2019/8/12 22:19:34,0.00元/㎡·月,住宅底商,否,百货超市,（好消息）(独栋临街商业 单价5.8万每平）带11万租金,4900万,https://sz.shop.fang.com/shou/3_220810369.html,简装修,,"114.158259,22.606503",深圳
7.00米,第1层(共1层),"停车位,燃气",414.25㎡,8.00米,"宝安,新安,旭仕达名苑",宝安34区新安四路前进天虹旁,旭仕达名苑,6.00米,2019/8/25 11:01:31,1.90元/㎡·月,住宅底商,否,,宝安天虹银行铺位出售，30米门面，单价69万,2880万,https://sz.shop.fang.com/shou/3_221169861.html,精装修,,"113.892297,22.578678",深圳
5.50米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",217㎡,10.00米,"光明区,公明,奥园和平广场",公明南环大道和振兴路交汇处,奥园和平广场,21.70米,2019/8/29 3:52:16,0.00元/㎡·月,住宅底商,否,百货超市,东北私房菜入驻 带稳定租约 买来即可收租,1200万,https://sz.shop.fang.com/shou/3_221269475.html,毛坯,,"114.114233,22.544178",深圳
5.10米,第2层(共13层),,135㎡,7.00米,"南山,蛇口,海上世界",南山蛇口兴华路海上世界广场,海上世界,8.00米,2019/9/1 21:04:46,30.00元/㎡·月,其他,否,,比肩香港海港城 双地铁26万平11 兰桂坊运营,4800万,https://sz.shop.fang.com/shou/3_221368306.html,毛坯,,"113.917012,22.483009",深圳
5.50米,第1层(共1层),客梯,669㎡,10.00米,"福田,莲花,润鹏花园","莲花路与彩田路交汇处,莲花山脚下",润鹏花园,66.90米,2019/9/3 10:49:03,0.00元/㎡·月,住宅底商,否,百货超市,（）（生意好到爆带品牌稳定35万租金）,6556.2万,https://sz.shop.fang.com/shou/3_221402815.html,简装修,,"114.064145,22.559359",深圳
7.00米,第2层(共2层),,162㎡,8.00米,"南山,后海,后海花园",南山区后海大道与龙城路交汇,后海花园,6.00米,2019/8/18 10:31:03,0.00元/㎡·月,住宅底商,是,百货超市,后海5厘回/报的街铺 品牌租约社区出入口 价格惊喜,1100万,https://sz.shop.fang.com/shou/3_220969871.html,简装修,,"113.930896,22.513046",深圳
3.00米,,"客梯,货梯,扶梯",422㎡,4.00米,"福田,上步,南天一花园",南天一花园商铺,南天一花园,5.00米,2019/8/18 15:08:44,0.00元/㎡·月,商业街商铺,否,百货超市,百花腹地整条街铺出售 带50万租约 周边13所云集,12000万,https://sz.shop.fang.com/shou/3_220980073.html,毛坯,420㎡,"114.093372,22.554407",深圳
4.50米,第1层(共1层),,70㎡,13.00米,"宝安,西乡,中信领航",广东省深圳市宝安区西乡107国道和航城大道交汇处,中信领航,5.50米,2019/8/26 17:50:46,7.25元/㎡·月,其他,否,,领.航.城三期全球发售！开发商直售！现正接受预约看铺！,1300万,https://sz.shop.fang.com/shou/3_221206816.html,毛坯,,"113.856575,22.609777",深圳
5.10米,第1层(共4层),,108㎡,12.00米,"龙华区,龙华,中海锦城",龙华新区民治街道民塘路与简上路交汇处,中海锦城,10.00米,2019/9/4 12:11:32,0.00元/㎡·月,其他,否,,深圳北站旁一手商业综合体地铁口无缝接驳,2160万,https://sz.shop.fang.com/shou/3_221433646.html,毛坯,,"114.014230,22.637275",深圳
7.00米,第1层(共30层),"停车位,燃气",521.73㎡,8.00米,"南山,南油,百富大厦",南油大道与登良路交汇处,百富大厦,6.00米,2019/9/4 10:59:00,2.30元/㎡·月,住宅底商,否,,"48米展示门面 转角位全能铺 来福士广场为邻,可餐饮,可自用",6388万,https://sz.shop.fang.com/shou/3_221430527.html,简装修,,"113.925420,22.510479",深圳
6.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",68.97㎡,10.00米,"宝安,宝安中心区,前海卓越时代广场",前海湾卓越时代广场,前海卓越时代广场,4.80米,2019/7/20 11:11:01,30.00元/㎡·月,商业街商铺,否,万能铺无业态限制,深圳未来30年的城核心商圈全能不要错过！！！,1800万,https://sz.shop.fang.com/shou/3_220086723.html,毛坯,,"113.901792,22.569506",深圳
7.00米,第10层(共33层),"网络,暖气,停车位,客梯,货梯,扶梯,上水,下水,可明火,排烟,排污,燃气,外摆区",39.72㎡,8.00米,"南山,南山中心区,海岸城西座",海德三道与文心五路交汇处,海岸城西座,6.00米,2019/8/31 10:04:59,26.00元/㎡·月,商业街商铺,否,"酒店宾馆,服饰鞋包,百货超市,美容美发,家居建材,餐饮美食,生活服务,休闲娱乐",急售！南山海岸城步行街 大转角 品牌租约 层）高6米,1000万,https://sz.shop.fang.com/shou/3_221327324.html,精装修,,"113.936901,22.518442",深圳
3.60米,第21层(共51层),"停车位,客梯,货梯,上水,下水,可明火,排烟,排污",500㎡,18.00米,"龙岗,龙岗中心城,远洋新天地",万象天成,远洋新天地,3.00米,2019/7/21 11:44:45,8.00元/㎡·月,写字楼配套底商,是,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",万科旁边 大面积一手写字楼 单价仅2万多,1250万,https://sz.shop.fang.com/shou/3_220118163.html,毛坯,,"114.258456,22.729236",深圳
5.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",380㎡,13.00米,"南山,西丽,万科云街",万科云街,万科云街,27.00米,2019/9/4 0:59:32,12.00元/㎡·月,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",深圳总部中国硅谷政府总部大楼亚洲新地标高铁,10710万,https://sz.shop.fang.com/shou/3_221424242.html,精装修,357㎡,"113.943967,22.574015",深圳
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",1106㎡,13.00米,"龙华区,龙华,壹成中心",龙华东环一路壹城中心第五区,壹成中心,80.00米,2019/8/3 18:12:14,8.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",龙华网红大盘 壹城中心一手街铺出售 单价5万/平 带租300元/平,5500万,https://sz.shop.fang.com/shou/3_220527491.html,精装修,,"114.036030,22.645228",深圳
7.00米,第2层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",110㎡,8.00米,"龙华区,龙华,壹城中心",龙华人民路与建设路交汇处,壹城中心,6.00米,2019/9/4 10:32:10,12.00元/㎡·月,住宅底商,是,"美容美发,服饰鞋包,休闲娱乐,百货超市,餐饮美食,家居建材,生活服务",强烈推荐---年底入货好时机 山姆会员店旁边一楼临街 高人气,1200万,https://sz.shop.fang.com/shou/3_221429260.html,毛坯,,"114.026592,22.649717",深圳
5.00米,第1层(共55层),"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",158㎡,15.00米,"福田,华强,通天地",福田区华发南路,通天地,10.00米,2019/9/4 11:34:54,6.00元/㎡·月,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",华强北临街餐饮日人流量30万带 月租18万,2800万,https://sz.shop.fang.com/shou/3_221432293.html,毛坯,,"114.091231,22.539880",深圳
7.00米,,"上水,下水,排污",125㎡,14.00米,"南山,蛇口,南海玫瑰花园",南海玫瑰花园商铺,南海玫瑰花园,7.00米,2019/9/2 14:31:38,2.80元/㎡·月,住宅底商,否,"休闲娱乐,生活服务,美容美发,百货超市,服饰鞋包",欧美人群聚集地，高消费力，蛇口7米超宽超靓临街靓铺急售,1280万,https://sz.shop.fang.com/shou/3_221383606.html,精装修,120㎡,"113.921749,22.485076",深圳
5.10米,第1层(共2层),,532㎡,15.00米,"龙华区,龙华,中海锦城",龙华新区民治街道民塘路与简上路交汇处,中海锦城,13.00米,2019/9/3 15:47:08,0.00元/㎡·月,商业街商铺,是,餐饮美食,深圳北商圈！网红楼盘！购物中心门面！世界第二大速食餐饮租客！,10640万,https://sz.shop.fang.com/shou/3_221412791.html,简装修,,"114.014230,22.637275",深圳
7.00米,第1层(共16层),"网络,燃气",2595.07㎡,8.00米,"南山,西丽,朗苑",西丽珠光路与龙珠二路交界处,朗苑,6.00米,2019/8/22 12:07:06,2.80元/㎡·月,住宅底商,否,,"价钱低于楼上住宅的一楼街铺,可餐饮,可自用",12000万,https://sz.shop.fang.com/shou/3_221088421.html,毛坯,,"113.960901,22.569655",深圳
5.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",40㎡,5.00米,"罗湖,东门,月明楼",月明楼商铺,月明楼,8.00米,2019/8/10 10:52:28,35.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",东门小吃街铺 月租金20万 卖3900万,3900万,https://sz.shop.fang.com/shou/3_220731212.html,精装修,36㎡,"114.118304,22.545910",深圳
5.50米,第1层(共1层),客梯,248㎡,10.00米,"福田,福田中心区,建鑫苑",福田福田中心区益田路,建鑫苑,24.80米,2019/8/12 23:01:53,0.00元/㎡·月,住宅底商,否,百货超市,（业主在900万处理）（品牌药店 7万每月租金）,2468万,https://sz.shop.fang.com/shou/3_220810682.html,简装修,,"114.052858,22.519701",深圳
10.00米,第1层(共55层),,1070.57㎡,20.00米,"罗湖,水库,泰宁花园",爱国路与康宁路与太宁路交汇处,泰宁花园,30.00米,2019/9/2 19:26:57,0.00元/㎡·月,住宅底商,是,百货超市,百仕达旁大宗物业，单价仅2万，超靓铺,2288万,https://sz.shop.fang.com/shou/3_221392391.html,简装修,,"114.140840,22.565691",深圳
6.00米,,,低区(共1层),25.00米,"东莞,塘厦,骏景高尔夫花园","
                                    广东省东莞市东莞市市辖区岭南大道
                                ",骏景高尔夫花园,40.00米,2019/7/15 9:53:32,968㎡,否,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务，百货超市，酒店宾馆，家居建材，其他,,,3500万,https://sz.shop.fang.com/shou/1_94544154.html,住宅底商 ,,,深圳
7.00米,第6层(共7层),客梯,8500㎡,8.00米,"南山,南山中心区,沙湾",南山南山中心区沙湾,沙湾,6.00米,2019/8/14 12:06:44,0.00元/㎡·月,商业街商铺,否,百货超市,（沙湾两整栋厂房 业主出国发展大甩卖）（低于市场价格）,6532.85万,https://sz.shop.fang.com/shou/3_220851822.html,简装修,,"114.169030,22.605210",深圳
7.00米,第13层(共21层),,531㎡,8.00米,"龙华区,龙华,中海锦城",龙华新区民治街道民塘路与简上路交汇处,中海锦城,6.00米,2019/8/27 12:03:03,8.00元/㎡·月,商业街商铺,是,餐饮美食,龙华4个地铁口，带100米外摆，11米，转角龙头铺王急售,4880万,https://sz.shop.fang.com/shou/3_221223380.html,毛坯,,"114.014230,22.637275",深圳
5.10米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",94㎡,10.00米,"南山,前海,易尚中心",易尚中心,易尚中心,8.00米,2019/8/18 16:05:41,10.00元/㎡·月,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",开发商清盘直售南山前海百强总部写字楼底商一手临街,1400万,https://sz.shop.fang.com/shou/3_220981590.html,毛坯,80㎡,"113.879963,22.547567",深圳
5.50米,第1层(共30层),客梯,267㎡,10.00米,"福田,福田中心区,彩虹新都()",福田区彩田路与福华路交界,彩虹新都(),26.70米,2019/9/3 10:53:35,0.00元/㎡·月,住宅底商,否,百货超市,"哇哦,岗厦临街转角三门面业主出国挥泪番茄价出售.",3299.59万,https://sz.shop.fang.com/shou/3_221403114.html,简装修,,"114.068545,22.535844",深圳
6.00米,,"网络,停车位,上水,下水,燃气",280㎡,9.00米,"福田,景田,景苑大厦",景苑大厦商铺,景苑大厦,9.00米,2019/7/22 11:19:34,2.90元/㎡·月,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",70年产权 品牌餐饮正街铺 业主出国 急售,1990万,https://sz.shop.fang.com/shou/3_220144870.html,毛坯,260㎡,"114.046362,22.542191",深圳
4.80米,第1层(共40层),"停车位,客梯,上水,下水,排烟",53.12㎡,10.00米,"南山,科技园,华润城润府",南山科技园,华润城润府,4.80米,2019/8/5 20:32:38,15.00元/㎡·月,住宅底商,否,"百货超市,餐饮美食",华润品牌，真实租约回/报4厘，一路之隔即是万象天地,1583万,https://sz.shop.fang.com/shou/3_220589375.html,毛坯,,"113.954532,22.548096",深圳
7.00米,第1层(共16层),"网络,燃气",2595.07㎡,8.00米,"南山,西丽,朗苑",西丽珠光路与龙珠二路交界处,朗苑,6.00米,2019/8/22 12:22:12,2.80元/㎡·月,住宅底商,否,,"价钱低于楼上住宅的一楼街铺,可餐饮,可自用",12000万,https://sz.shop.fang.com/shou/3_221088948.html,毛坯,,"113.960901,22.569655",深圳
