cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu
7.00米,第2层(共6层),,25㎡,8.00米,"罗湖,东门",罗湖区东门永新街,东门南塘商业广场B区,6.00米,2019/7/20 18:56:16,0.00元/㎡·月,住宅底商,是,百货超市,年租30万！358万急卖！东门一楼转角铺！税费仅几万！,3.58万,https://sz.shop.fang.com/shou/3_220102646.html,简装修
4.20米,第1层(共3层),"停车位,客梯,货梯,上水,下水",30㎡,6.00米,"东莞,凤岗",凤凰台东莞市振江房地产开发有限公司项目,振江凤凰台,3.00米,2019/8/15 18:34:36,5.00元/㎡·月,住宅底商,否,教育机构,钱啦，钱啦，首付只需30万买城开发商一手现铺,55万,https://sz.shop.fang.com/shou/3_220896764.html,毛坯
,第90层(共90层),,10㎡,1.00米,"深圳周边区,深圳周边",1.00米,宏业北路,1.00米,2019/6/6 17:59:12,0.00元/㎡·月,其他,否,金地仟百汇,原始股一手临深商业综合体即买即挣商铁旁地铁口,2.47万,https://sz.shop.fang.com/shou/3_218673252.html,毛坯
6.00米,第1层(共1层),"暖气,上水",32㎡,7.00米,"罗湖,东门",罗湖,罗湖,5.00米,2019/8/8 14:04:04,5.00元/㎡·月,住宅底商,是,百货超市,罗湖火车站临街靓铺 带租6800（业主股票套牢急售）,80万,https://sz.shop.fang.com/shou/3_220674003.html,简装修
,第1层(共1层),,55㎡,5.50米,"光明区,公明",6.70米,光明区 公明 长春南路3号,10.00米,2019/9/4 14:01:42,0.00元/㎡·月,商业街商铺,否,中粮云景国际南区商铺,光明中粮云景国际央企打造步行街金铺！地铁无缝连接,3.3万,https://sz.shop.fang.com/shou/3_221436325.html,简装修
5.00米,第3层(共29层),"网络,停车位,客梯,上水,下水,可明火,排污",40㎡,8.00米,"龙岗,龙岗中心城",中心城龙平东路与龙城中路交汇处东南角（尚景欣园站北100米）,汇龙天下商铺,4.00米,2019/9/4 1:14:14,4.00元/㎡·月,其他,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",单价2.8万总价86万起精装带租约出售,85万,https://sz.shop.fang.com/shou/3_221424267.html,精装修
6.00米,第1层(共4层),,22㎡,4.00米,"龙华新区,龙华",龙胜路和景龙建设路交汇处,融创智汇大厦,5.00米,2019/8/19 15:06:01,12.00元/㎡·月,住宅底商,是,百货超市,双地铁口综合体商业，均价6万，仅为金茂府住宅价格的1/2,100万,https://sz.shop.fang.com/shou/3_221007996.html,毛坯
,第90层(共90层),,100㎡,3.00米,"光明新区,公明",5.00米,松白路,4.00米,2019/7/1 17:53:37,1.00元/㎡·月,其他,否,中粮云景国际,中粮云景 50万首付 开发商一手直卖 双地铁口,3万,https://sz.shop.fang.com/shou/3_219547529.html,简装修
3.00米,第1层(共8层),,20㎡,4.00米,"罗湖,东门",深圳市罗湖区东门解放路,九龙城商铺,4.00米,2019/9/2 15:06:02,0.00元/㎡·月,住宅底商,是,百货超市,东门九龙城仅售68万，带租约5千，翻新已完工,68万,https://sz.shop.fang.com/shou/3_221384731.html,毛坯
,第1层(共2层),,10㎡,5.50米,"光明区,光明",1.50米,光明新区公明街道南环大道与松白路交汇处东南侧,10.00米,2019/8/21 16:54:18,0.00元/㎡·月,其他,否,益田假日府邸商铺,地铁口餐饮街铺 清盘在即 享9折 单价仅5万/平起,80万,https://sz.shop.fang.com/shou/3_221068763.html,毛坯
5.50米,第1层(共2层),"网络,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气",22㎡,7.00米,"惠州,大亚湾区",大亚湾中心响水河路与大亚湾大道交汇处,惠华商业街,5.00米,2019/8/29 16:04:59,2.60元/㎡·月,住宅底商,否,"服饰鞋包,生活服务,休闲娱乐",临街钻铺限量席位珍罕发售即买即收租！,80万,https://sz.shop.fang.com/shou/3_221285387.html,毛坯
5.10米,第3层(共3层),,20㎡,5.00米,"南山,南山中心区",海德三道与文心五路交汇处,海岸城西座商铺,4.00米,2019/9/4 10:16:53,0.00元/㎡·月,住宅底商,是,百货超市,世贸标杆发售中，单价4万起，14号线地铁口,80万,https://sz.shop.fang.com/shou/3_221428484.html,简装修
5.10米,第1层(共1层),"网络,客梯,货梯,扶梯",5㎡,1.00米,"龙岗,龙岗中心城",万科时代广场,万科时代广场,4.00米,2019/8/17 17:07:37,10.00元/㎡·月,写字楼配套底商,否,"服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",万科时代广场钻石小铺！！！,85万,https://sz.shop.fang.com/shou/3_220955682.html,毛坯
,第4层(共6层),,60㎡,7.00米,"南山,南山中心区",6.00米,南海大道与创业路交汇处,8.00米,2019/8/20 15:42:21,5.00元/㎡·月,其他,否,保利城花园商铺,（大南山 低总价）惊现总价600万租金2.8万8米门宽品牌租,10万,https://sz.shop.fang.com/shou/3_221036597.html,简装修
5.50米,第2层(共7层),"暖气,客梯",10㎡,10.00米,"龙华区,龙华",龙华新区民治街道民塘路与简上路交汇处,中海锦城商铺,1.50米,2019/8/12 23:47:36,0.00元/㎡·月,购物中心/百货,否,百货超市,（资本配置新方向）地铁口双出口转角铺王 7折清盘,98万,https://sz.shop.fang.com/shou/3_220811142.html,简装修
5.11米,1000㎡,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",1045㎡,16.00米,"南山,蛇口",太子湾广场,太子湾广场,64.00米,2019/7/25 14:51:43,40.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",太子湾稀有一手街铺出售 内部价选好铺 带国际品牌,28万,https://sz.shop.fang.com/shou/3_220247101.html,精装修
5.10米,第1层(共2层),,4㎡,10.00米,"深圳周边区,东莞",东莞黄江田美黄江大道与公常公路交汇处,深莞时代,5.00米,2019/6/13 18:34:02,3.00元/㎡·月,其他,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",东莞黄江3字开头一手，大型综合体，带真实租约,3万,https://sz.shop.fang.com/shou/3_218948207.html,毛坯
7.00米,第3层(共7层),,50㎡,8.00米,"南山,西丽",创科路与打石二路交汇处,云街,6.00米,2019/8/31 11:17:47,0.00元/㎡·月,住宅底商,是,百货超市,深圳留仙洞总部，号外（有一批抵工程款铺位）底价出售,75万,https://sz.shop.fang.com/shou/3_221330926.html,简装修
3.00米,第1层(共4层),"暖气,上水,排烟,排污",200㎡,14.14米,"龙岗,横岗",龙岗大道与保康路交汇处,荣德国际综合体,14.14米,2019/5/6 22:50:38,6.00元/㎡·月,住宅底商,是,百货超市,地铁口无缝连接35万平史诗级购物未来5快线交通枢纽,15万,https://sz.shop.fang.com/shou/3_217182874.html,简装修
,第1层(共2层),,33㎡,5.10米,"东莞,凤岗",3.00米,东莞市凤岗镇中心区（金凯悦大酒店旁）凤深大道与财富路交界处,9.00米,2019/8/15 22:50:19,0.00元/㎡·月,商业街商铺,否,锦龙又一城商铺,临深圳商业综合体的 临街总价70万起 统一管理五年,66万,https://sz.shop.fang.com/shou/3_220903769.html,简装修
,第5层(共7层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",47㎡,7.00米,"南山,蛇口",6.00米,蛇口,8.00米,2019/9/3 18:42:14,5.00元/㎡·月,住宅底商,是,蛇口太子湾,（区总推荐太子驾到）深圳一线滨海商业太子湾震撼特价1200万,20万,https://sz.shop.fang.com/shou/3_221417457.html,简装修
,第1层(共1层),,10㎡,3.00米,"龙华区,民治",5.00米,龙华民治街道中梅路与腾龙路交汇处,4.00米,2019/9/2 10:07:26,20.00元/㎡·月,其他,否,龙光玖钻商铺,龙光玖钻临街街铺出售/红山地铁，双地铁无缝接驳,4.5万,https://sz.shop.fang.com/shou/3_221373918.html,毛坯
3.00米,30㎡,"上水,下水",31㎡,3.00米,"龙华区,龙华",恒大时尚慧谷,恒大时尚慧谷,3.00米,2019/8/4 22:52:14,3.00元/㎡·月,住宅底商,是,休闲娱乐,龙华羊台山公园旁 通天然气带精装修 带阳台85万起,85万,https://sz.shop.fang.com/shou/3_220562866.html,精装修
,第1层(共3层),,10㎡,3.00米,"宝安,福永",3.00米,福永街道大洋路与塘新路交汇处,4.00米,2019/9/3 15:55:54,0.00元/㎡·月,其他,否,中粮凤凰里商铺,双地铁口国际会展中 心旁，国企中粮凤凰里70年街铺,8.8万,https://sz.shop.fang.com/shou/3_221413038.html,毛坯
,第4层(共5层),,62㎡,5.10米,"宝安区,宝安",5.00米,福永107国道旁,12.00米,2019/8/29 17:12:13,0.00元/㎡·月,其他,否,碧桂园领域,5千住户社区底铺 临街可外摆 62平 单价5万 租金4厘,32万,https://sz.shop.fang.com/shou/3_221287812.html,简装修
,第1层(共1层),,56㎡,4.00米,"龙华区,龙华",7.00米,龙华镇和平西路与中环路交汇处,8.00米,2019/8/28 18:04:56,0.00元/㎡·月,其他,否,富通天骏商铺,地铁口转角亮铺 双租客 高颜值 低总价 月租4.2,13万,https://sz.shop.fang.com/shou/3_221262163.html,毛坯
9.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",1045㎡,16.00米,"南山,蛇口",蛇口太子湾邮轮大道,太子湾广场,64.00米,2019/8/3 17:32:40,40.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",蛇口自贸区一手街铺 米其林餐厅品牌 仅售18万平起,28万,https://sz.shop.fang.com/shou/3_220526494.html,精装修
3.00米,第2层(共7层),,11㎡,3.32米,"罗湖,东门",深圳市罗湖区东门中路与二横街交汇点处,旺角购物广场,3.32米,2019/7/23 11:37:47,0.00元/㎡·月,住宅底商,是,百货超市,罗湖东门旺角购物广场出售，此铺位于转角位，租约租定。,49万,https://sz.shop.fang.com/shou/3_220178776.html,简装修
7.00米,第3层(共7层),,50㎡,8.00米,"南山,西丽",创科路与打石二路交汇处,云街,6.00米,2019/8/14 11:33:55,0.00元/㎡·月,住宅底商,是,百货超市,深圳留仙洞总部，号外（有一批抵工程款铺位）底价出售,75万,https://sz.shop.fang.com/shou/3_220850259.html,简装修
5.10米,第1层(共2层),,4㎡,6.00米,"宝安区,沙井",沙井中心路,博林君瑞,5.00米,2019/6/21 19:18:26,9.40元/㎡·月,其他,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",沙井国际会展中心+海岸城双引擎 社会人流 24营业,12万,https://sz.shop.fang.com/shou/3_219248565.html,毛坯
5.00米,第1层(共8层),"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,燃气",28㎡,6.00米,"龙岗,龙岗中心城",盐龙大道与愉龙路交汇,仁恒梦公园,2.00米,2019/9/3 10:47:50,5.00元/㎡·月,其他,否,公寓,龙岗大运标志旁一手工寓 总价88万起 单价两万多,88万,https://sz.shop.fang.com/shou/3_221402699.html,精装修
5.00米,第1层(共3层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",27㎡,6.50米,"福田,皇岗",皇岗公园一街东侧（世外桃源附近）,华嵘榕公馆商铺,5.00米,2019/6/10 22:21:43,3.80元/㎡·月,商业街商铺,否,适用于各种业态,福田皇岗口岸附近 红本街铺出售 网红甜点铺 收租一万一 包税费,95万,https://sz.shop.fang.com/shou/3_218832582.html,精装修
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",136㎡,15.00米,"南山,西丽",南山区留仙洞战略型新兴产业总部基地石鼓路与打石一路交汇处,万科云城商铺,9.00米,2019/7/30 17:09:04,4.60元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",万科云城铺王 带 单价仅18.8万平 清盘特价,18.8万,https://sz.shop.fang.com/shou/3_220403695.html,精装修
9.00米,32㎡,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污",40㎡,3.50米,"龙岗,龙岗中心城",汇龙天下商铺,"美容美发,餐饮美食,家居建材,生活服务,酒店宾馆",中心城龙平东路与龙城中路交汇处东南角（尚景欣园站北100米）,2019/8/31 10:44:17,2.50元/㎡·月,精装修,住宅底商,否,总价86万单价2.8万起带租约精装地铁口不,86万,https://sz.shop.fang.com/shou/3_221329398.html,第3层(共29层)
3.00米,第1层(共1层),停车位,35㎡,4.00米,"罗湖,东门",南塘商业广场10地块永新街1号,南塘商业广场商铺,5.00米,2019/8/31 13:36:05,0.00元/㎡·月,商业街商铺,否,百货超市,天虹大润发商圈临街铺高铁南站旁 人流量密集 一铺在手三代不愁,87.5万,https://sz.shop.fang.com/shou/3_221335054.html,简装修
6.30米,14㎡,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",14.1㎡,4.00米,"东莞,樟木头",樟木头先威路68号,奥园城市天地,4.00米,2019/7/25 14:25:33,10.00元/㎡·月,毛坯,商业街商铺,否,柳星竹--小香港特价，6.3可分割两层,60万,https://sz.shop.fang.com/shou/3_220245882.html,第1层(共1层)
,第1层(共33层),,100㎡,5.80米,"光明区,公明",5.00米,光明区 公明 长春南路3号,6.00米,2019/9/4 14:16:44,6.50元/㎡·月,商业街商铺,否,中粮云景国际南区商铺,双地铁一手临街铺，光明新区纯地铁物业单价仅2.5万,3.5万,https://sz.shop.fang.com/shou/3_221436663.html,简装修
6.00米,第2层(共5层),"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",23㎡,5.70米,"南山,华侨城",南山华侨城世界之窗正对面,益田假日广场商铺,4.00米,2019/8/7 16:46:30,12.00元/㎡·月,住宅底商,是,看行业需求,南山华侨城金铺 带租约 红本在手 业主急出包税包中介费 买不操心,68万,https://sz.shop.fang.com/shou/3_220647066.html,毛坯
,第1层(共2层),,57㎡,6.00米,"南山,南山中心区",5.00米,海德三道与文心五路交汇处,10.00米,2019/8/14 21:35:10,0.00元/㎡·月,商业街商铺,否,海岸城东座商铺,捡漏 728万买海岸城回馈达百分之6 购一层层,72.96万,https://sz.shop.fang.com/shou/3_220870263.html,毛坯
,第1层(共2层),,15㎡,5.10米,"龙岗,龙岗中心城",5.00米,深圳龙岗大道与龙城大道交汇处,13.00米,2019/7/26 11:00:42,0.00元/㎡·月,商业街商铺,否,金地龙城中央商铺,大型商业综合体的 开发商一手街铺 小区出入口69折出售,99万,https://sz.shop.fang.com/shou/3_220272934.html,简装修
4.00米,186㎡,"客梯,货梯,扶梯",187㎡,5.00米,"宝安,中心区",宝中卓越前海时代广场,百货超市,海天路地铁5号线宝华站A2出口100米,2019/6/13 19:28:10,0.00元/㎡·月,毛坯,商业街商铺,否,（一铺养三代）的看过来！餐饮.接轨大湾区,12万,https://sz.shop.fang.com/shou/3_218949987.html,第1层(共1层)
5.50米,第16层(共31层),"停车位,客梯",27㎡,10.00米,"宝安,西乡",宝安区,天谷,2.70米,2019/8/19 11:06:04,0.00元/㎡·月,写字楼配套底商,否,百货超市,笋盘 宝安西乡 地铁沿线 国际湾区 天谷 首推精装,99.9万,https://sz.shop.fang.com/shou/3_220999543.html,简装修
,第31层(共46层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2㎡,7.00米,"南山,西丽",6.00米,南山,8.00米,2019/9/1 13:05:59,6.00元/㎡·月,购物中心/百货,否,京基御景峯,南山大学城均价7.5万不限-购-不-限-贷带一线豪-装,12万,https://sz.shop.fang.com/shou/3_221356744.html,精装修
,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,燃气",34㎡,7.00米,"龙岗,横岗",6.00米,龙岗横岗镇红棉一路,8.00米,2019/9/4 9:49:38,1.50元/㎡·月,住宅底商,否,城市中心花园商铺,横岗总价一百万内街铺城市花园单价低总价低买到到,98万,https://sz.shop.fang.com/shou/3_221426935.html,精装修
,第90层(共90层),,60㎡,3.00米,"南山区,蛇口",5.00米,蛇口自贸区太子湾招商局蛇口展示中心,4.00米,2019/7/20 10:57:00,0.00元/㎡·月,其他,否,太子湾商务广场,蛇口自贸区852太子湾商业综合体发售,15万,https://sz.shop.fang.com/shou/3_220085924.html,简装修
,第90层(共90层),,60㎡,3.00米,"南山区,蛇口",5.00米,蛇口自贸区太子湾招商局蛇口展示中心,4.00米,2019/8/15 23:53:22,0.00元/㎡·月,其他,否,太子湾商务广场,蛇口自贸区852太子湾商业综合体发售,15万,https://sz.shop.fang.com/shou/3_220904252.html,简装修
5.10米,第2层(共2层),暖气,60㎡,7.75米,"宝安,宝安中心区",宝安宝华路与海天路交汇处西南角（宝安区,前海卓越时代广场,7.75米,2019/8/23 13:28:47,5.00元/㎡·月,住宅底商,是,百货超市,真图实价 双地铁口五景区旁 21.8万/平 85平,21.8万,https://sz.shop.fang.com/shou/3_221121407.html,简装修
7.00米,第2层(共6层),,25㎡,8.00米,"罗湖,东门",罗湖区东门永新街,东门南塘商业广场B区,6.00米,2019/8/14 11:31:30,0.00元/㎡·月,住宅底商,是,百货超市,年租30万！358万急卖！东门一楼转角铺！税费仅几万！,3.58万,https://sz.shop.fang.com/shou/3_220850148.html,简装修
,第90层(共90层),,32㎡,3.00米,"光明新区,公明",5.00米,松白路,4.00米,2019/7/1 17:53:55,1.00元/㎡·月,其他,否,中粮云景国际,光明双地铁口 中粮云景 30平起 单价2字头,76.16万,https://sz.shop.fang.com/shou/3_219547533.html,简装修
,第1层(共4层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,6.00米,"东莞,樟木头",4.00米,先威路,9.00米,2019/7/8 14:56:33,3.00元/㎡·月,临街门面,否,奥园城市天地,樟木头地标奥园城市天地广场特价,72万,https://sz.shop.fang.com/shou/3_219738859.html,毛坯
,第1层(共6层),,50㎡,6.50米,"龙岗,平湖",4.50米,平湖镇华南大道一号,10.00米,2019/8/4 21:46:37,0.00元/㎡·月,其他,否,华南城,华南城 终究会走上你现在看不起，以后高攀不起趋势,60万,https://sz.shop.fang.com/shou/3_220561998.html,简装修
,第1层(共4层),,65㎡,3.00米,"龙岗区,平湖",5.00米,深圳市龙岗区平湖街道华南城三期国际电商中心,4.00米,2019/8/30 10:49:51,0.00元/㎡·月,其他,否,华南城国际电商中心,龙岗平湖10线华南城站，业主急售低于原价10万，买来就,96万,https://sz.shop.fang.com/shou/3_221302337.html,简装修
6.00米,18㎡,"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,4.00米,"光明区,公明",奥园和平广场,奥园和平广场,5.00米,2019/6/14 10:20:06,6.00元/㎡·月,商业街商铺,是,餐饮为主,深圳铺卖住宅价 以租养供 付个首付就地收租 楼下地铁楼上万住户,100万,https://sz.shop.fang.com/shou/3_218964715.html,精装修
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",77㎡,11.00米,"宝安,宝安中心区",前海卓越时代广场,前海卓越时代广场餐饮街铺,7.00米,2019/6/19 21:29:15,22.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",一个圣淘沙，一个华侨城欢乐港湾，特价餐饮街铺1188万,21万,https://sz.shop.fang.com/shou/3_219176512.html,毛坯
,第1层(共3层),"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,外摆区",12㎡,6.10米,"龙华区,龙华",6.00米,龙华新区民治街道民塘路与简上路交汇处,2.00米,2019/9/2 13:21:42,0.00元/㎡·月,其他,否,中海锦城商铺,铺王！龙华中轴之作 地铁接驳购物中心13.8万起,13.8万,https://sz.shop.fang.com/shou/3_221381547.html,毛坯
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",66㎡,11.00米,"宝安,宝安中心区",前海卓越时代广场,前海卓越时代广场餐饮街铺,6.00米,2019/6/19 21:50:42,11.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",一个圣淘沙，一个华侨城欢乐港湾，特价餐饮街铺1188万,21.8万,https://sz.shop.fang.com/shou/3_219177362.html,毛坯
3.00米,99㎡,"客梯,货梯,扶梯",100㎡,4.00米,"宝安,中心区",前海卓越时代广场,前海卓越时代广场,5.00米,2019/6/13 19:21:01,0.00元/㎡·月,商业街商铺,否,百货超市,（128米高深圳之光）摩天轮星耀湾区 欢乐海岸 原始股资产,12万,https://sz.shop.fang.com/shou/3_218949878.html,毛坯
4.00米,10㎡,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",12㎡,3.00米,"罗湖,东门",爵士大厦商铺,爵士大厦商铺,3.00米,2019/8/26 19:27:11,15.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",独立红本快餐店卖48万 12平方 租金2400元,48万,https://sz.shop.fang.com/shou/3_221208835.html,精装修
,第4层(共6层),,60㎡,7.00米,"南山,南山中心区",6.00米,南海大道与创业路交汇处,8.00米,2019/8/8 10:46:50,5.00元/㎡·月,其他,否,保利城花园商铺,（大南山 低总价）惊现总价600万租金2.8万8米门宽品牌租,10万,https://sz.shop.fang.com/shou/3_220665840.html,简装修
7.00米,第5层(共6层),,25㎡,8.00米,"罗湖,东门",罗湖区东门永新街,东门南塘商业广场B区,6.00米,2019/7/27 9:16:46,0.00元/㎡·月,住宅底商,是,百货超市,年租30万！358万急卖！东门一楼转角铺！税费仅几万！,3.58万,https://sz.shop.fang.com/shou/3_220299333.html,简装修
3.00米,第2层(共4层),,14㎡,1.00米,"罗湖,东门",深圳市罗湖区东门中路与二横街交汇点处,旺角购物广场,1.00米,2019/9/2 15:05:29,1.00元/㎡·月,住宅底商,是,服饰鞋包,东门小铺诚心出售,48万,https://sz.shop.fang.com/shou/3_221384713.html,精装修
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",99㎡,11.00米,"宝安,宝安中心区",前海卓越时代广场,前海卓越时代广场餐饮街铺,9.00米,2019/6/19 21:48:22,11.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",一个圣淘沙，一个华侨城欢乐港湾，特价餐饮街铺1188万,22.8万,https://sz.shop.fang.com/shou/3_219177273.html,毛坯
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",67㎡,11.00米,"南山,西丽",创科路与打石二路交汇处,万科云街,6.00米,2019/8/3 17:41:02,12.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",西丽高铁站 中国硅谷 万科云街抄底价位 低于成本价出售,17.8万,https://sz.shop.fang.com/shou/3_220526731.html,精装修
