zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url,location_coords
,70000元/月,押一付三,0.00㎡,,,,第1层(共5层),简装修,住宅底商,否,百货超市,广州渔人码头商铺,洛溪新城北环路88号,50.00米,10.00米,5.50米,客梯0个，货梯0个,,客梯,2019/8/29 19:15:48,https://gz.shop.fang.com/zu/3_241839508.html,"113.295916,23.049024"
,2800元/月,押二付一,0.00㎡,,,,第1层(共4层),简装修,住宅底商,是,百货超市,钟村商贸城,钟村街105国道与钟汉路交汇处旁,4.00米,5.00米,5.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/7 22:58:48,https://gz.shop.fang.com/zu/3_242107016.html,"113.314921,22.982079"
,25000元/月,租金已包含,暂无,,,,购物中心/百货,,否,高德置地广场商铺,,客梯9个，货梯2个,高德置地广场商铺,,,,920000.00㎡,49㎡,,2019/8/27 10:32:42,https://gz.shop.fang.com/zu/3_241766432.html,"113.313764,23.117434"
,288000元/月,租金已包含,第1层(共5层),,,,购物中心/百货,,否,乐峰广场,,工业大道北106-108号,,,,,,627㎡,,2019/8/27 10:37:08,https://gz.shop.fang.com/zu/3_241766673.html,"113.259136,23.088180"
,5000元/月,押一付三,35㎡,,,,第1层(共1层),简装修,商业街商铺,否,生活服务,广东省广州市番禺区坑口路5号,广东省广州市番禺区坑口路5号,4.50米,7.30米,3.00米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,燃气",2019/8/31 11:31:52,https://gz.shop.fang.com/zu/3_241880463.html,"113.375722,22.940983"
,180000元/月,租金已包含,暂无,,,,住宅底商,,否,中山八路商铺,,客梯0个，货梯0个,中山八路商铺,,,,0.00㎡,2030㎡,,2019/8/20 18:16:26,https://gz.shop.fang.com/zu/3_241590064.html,
,807100元/月,押二付一,2306㎡,,,,第1层(共30层),精装修,住宅底商,是,百货超市,天河北广州大道中超甲级五星级酒店附属商业裙楼,天河区广场大道中电询13138661669,48.02米,48.02米,3.00米,,39.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/8/30 14:04:08,https://gz.shop.fang.com/zu/3_241856843.html,"113.315912,23.132627"
,44000元/月,租金已包含,2000-01-01,,,,住宅底商,,否,摩登百货岗顶店,,客梯4个，货梯0个,摩登百货岗顶店,,,,0.00㎡,95㎡,,2019/8/24 11:49:50,https://gz.shop.fang.com/zu/3_241694909.html,"113.465839,23.170378"
30万元,53000元/月,押三付一,0.00㎡,88㎡,60个月,带设备转让,第1层(共2层),精装修,住宅底商,否,"百货超市,美容美发,餐饮美食,休闲娱乐",珠江新城中区商铺,天河区珠江新城兴盛路,4.00米,8.00米,6.00米,客梯0个，货梯0个,4.00元/㎡·月,"客梯,上水,下水,排烟",2019/9/10 15:01:09,https://gz.shop.fang.com/zu/3_242175676.html,"113.327343,23.119274"
,73000元/月,租金已包含,暂无,,,,商业街商铺,,否,体育东横街商铺,,客梯0个，货梯0个,体育东横街商铺,,,,0.00㎡,190㎡,,2019/8/27 10:48:56,https://gz.shop.fang.com/zu/3_241767385.html,
,45000元/月,145㎡,第1层(共5层),,,,住宅底商,,否,华景路,,华景路,1.00米,1.00米,3.00米,,,,,2019/9/9 14:17:52,https://gz.shop.fang.com/zu/3_242146946.html,"113.359828,23.141047"
,824040元/月,押三付一,0.00㎡,,,,第1层(共9层),毛坯,其他,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",禺山大道商铺,番禺区禺山大道,40.00米,10.00米,5.00米,客梯0个，货梯0个,租金已包含,"客梯,货梯",2019/9/10 12:25:28,https://gz.shop.fang.com/zu/3_242171114.html,"113.364558,22.940305"
,16000元/月,押二付一,392000.00㎡,80㎡,,,第1层(共2层),精装修,写字楼配套底商,是,"美容美发,餐饮美食",白云万达广场商铺,云城东路501号,5.00米,10.00米,11.00米,客梯0个，货梯0个,10.00元/㎡·月,"网络,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/23 12:25:55,https://gz.shop.fang.com/zu/3_240782876.html,"113.264917,23.172898"
,807000元/月,2306㎡,暂无,,,,暂无资料,,否,圣丰广场商铺,,客梯0个，货梯0个,1.00米,1.00米,3.00米,圣丰广场商铺,260000.00㎡,,,2019/9/9 14:05:08,https://gz.shop.fang.com/zu/3_242146616.html,
,100000元/月,租金已包含,第1层(共5层),,,,住宅底商,,否,同福东路,,同福东路,,,,,,471㎡,,2019/8/20 17:15:32,https://gz.shop.fang.com/zu/3_241588373.html,"113.266473,23.106595"
,250000元/月,押一付三,0.00㎡,,,,第2层(共4层),毛坯,住宅底商,是,餐饮美食,兴盛路步行街,珠江新城中区兴盛路,10.00米,20.00米,3.00米,客梯0个，货梯0个,15.00元/㎡·月,"上水,下水,可明火,燃气",2019/8/15 15:05:55,https://gz.shop.fang.com/zu/3_241448420.html,"113.317172,23.140393"
,44000元/月,租金已包含,第1层(共5层),,,,购物中心/百货,,否,金沙洲,,金沙洲,,,,,,830㎡,,2019/8/27 11:07:55,https://gz.shop.fang.com/zu/3_241768308.html,"113.201424,23.165328"
,1632000元/月,押二付一,24000㎡,,,,第1层(共4层),简装修,商业街商铺,是,医疗美容 健身房,沙太北路独栋商业楼,沙太北路,100.00米,60.00米,4.00米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/30 14:12:54,https://gz.shop.fang.com/zu/3_241856978.html,"113.342460,23.205740"
,120000元/月,租金已包含,第1层(共5层),,,,住宅底商,,否,珠江新城酒吧街,,天河中区兴国...,,,,,,218㎡,,2019/8/20 10:06:15,https://gz.shop.fang.com/zu/3_241573476.html,"113.324444,23.117783"
,66500元/月,押一付三,0.00㎡,,,,第2层(共4层),简装修,商业街商铺,是,"餐饮美食,休闲娱乐",兴盛路步行街,珠江新城中区兴盛路,10.00米,10.00米,3.80米,客梯0个，货梯0个,15.00元/㎡·月,"客梯,上水,下水,燃气",2019/8/20 10:38:45,https://gz.shop.fang.com/zu/3_241575130.html,"113.317172,23.140393"
,63000元/月,押一付三,0.00㎡,,,,第1层(共2层),毛坯,商业街商铺,是,"服饰鞋包,餐饮美食,休闲娱乐",下渡路商铺,新港西鹭江下渡路,6.00米,6.00米,3.80米,客梯0个，货梯0个,5.00元/㎡·月,"上水,下水",2019/8/20 11:15:14,https://gz.shop.fang.com/zu/3_241576986.html,"113.309108,23.098931"
,93225元/月,押一付三,119743.00㎡,,,,第3层(共5层),毛坯,住宅底商,是,"百货超市,餐饮美食,休闲娱乐",都市华庭商铺,北路358-378号,25.00米,50.00米,3.00米,客梯0个，货梯0个,16.00元/㎡·月,"客梯,扶梯",2019/9/5 21:35:50,https://gz.shop.fang.com/zu/3_242039289.html,"113.329002,23.140651"
,40000元/月,押二付一,0.00㎡,50㎡,,,第1层(共1层),简装修,住宅底商,否,"服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",力迅上筑商铺,珠江新城海明路,6.00米,10.00米,6.00米,客梯0个，货梯0个,6.00元/㎡·月,"上水,下水,排污",2019/8/28 16:57:40,https://gz.shop.fang.com/zu/3_241806828.html,"113.343096,23.115673"
,15330元/月,押二付一,146㎡,,,,第10层(共38层),精装修,其他,是,办公,后天河北东站商圈财润国际大厦,东莞庄路8号,10.00米,14.60米,3.30米,,5.35元/㎡·月,"暖气,停车位,客梯,货梯,中央空调",2019/9/7 16:55:43,https://gz.shop.fang.com/zu/3_242096284.html,"113.334923,23.149975"
,50000元/月,押二付一,218㎡,,,,第1层(共4层),精装修,住宅底商,是,百货超市,江南汇美食广场,江南汇美食广场,20.00米,5.50米,6.00米,,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/7 22:53:07,https://gz.shop.fang.com/zu/3_242106880.html,"113.365081,23.195292"
,5000元/月,租金已包含,暂无,,,,毛坯,商业街商铺,否,新街大道商铺,,客梯0个，货梯0个,5.00米,10.00米,4.00米,新街大道商铺,0.00㎡,50㎡,,2019/8/23 15:22:33,https://gz.shop.fang.com/zu/3_241673222.html,
,4800元/月,押一付三,12㎡,,,,第-1层(共1层),简装修,住宅底商,否,生活服务,东风东路与福今路交叉口,东风东路与福今路交叉口,3.00米,4.00米,5.00米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,燃气",2019/8/31 11:52:31,https://gz.shop.fang.com/zu/3_241881170.html,"113.302737,23.131723"
,750000元/月,押二付二,5000㎡,,,,第1层(共3层),毛坯,临街门面,否,"百货超市,酒店宾馆,餐饮美食,休闲娱乐",乐雅苑商铺,黄埔大道西,6.00米,10.00米,5.00米,,10.00元/㎡·月,"客梯,货梯,扶梯,上水,下水,排烟,排污",2019/8/5 11:33:06,https://gz.shop.fang.com/zu/3_241159162.html,"113.360017,23.123293"
,105000元/月,380㎡,暂无,,,,暂无资料,,否,北京路步行街,,客梯4个，货梯2个,1.00米,1.00米,3.00米,北京路步行街,24666.00㎡,,,2019/9/11 11:05:03,https://gz.shop.fang.com/zu/3_242195930.html,"113.273727,23.096689"
,31050元/月,押一付三,135㎡,,,,第1层(共1层),简装修,商业街商铺,否,"服饰鞋包,生活服务",晋和广场白云美食购物中心,晋和广场白云美食购物中心,6.00米,22.50米,4.50米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,燃气",2019/8/31 11:01:27,https://gz.shop.fang.com/zu/3_241879096.html,"113.288157,23.237269"
,98000元/月,230㎡,第1层(共5层),,,,住宅底商,,否,华乐路,,越秀区 华乐路,1.00米,1.00米,3.00米,,,,,2019/9/11 10:01:44,https://gz.shop.fang.com/zu/3_242192714.html,"113.288172,23.133960"
,38000元/月,租金已包含,暂无,,,,毛坯,商业街商铺,否,时尚天河商业广场,,客梯0个，货梯1个,6.00米,10.00米,4.00米,时尚天河商业广场,220000.00㎡,60㎡,,2019/8/23 15:24:41,https://gz.shop.fang.com/zu/3_241673283.html,"113.348264,22.990528"
,37000元/月,租金已包含,暂无,,,,住宅底商,,否,兴盛路步行街,,客梯0个，货梯0个,兴盛路步行街,,,,0.00㎡,47㎡,,2019/8/20 17:20:54,https://gz.shop.fang.com/zu/3_241588379.html,
,30000元/月,租金已包含,暂无,,,,住宅底商,,否,昌岗中路小区商铺,,客梯0个，货梯0个,昌岗中路小区商铺,,,,0.00㎡,230㎡,,2019/8/20 17:17:03,https://gz.shop.fang.com/zu/3_241588435.html,
,229500元/月,押二付一,71900.00㎡,,,,第4层(共4层),毛坯,写字楼配套底商,是,"生活服务,休闲娱乐",广州国际贸易中心商铺,林和西路1号 ,10.00米,20.00米,4.50米,客梯3个，货梯0个,18.00元/㎡·月,"上水,下水",2019/8/22 18:13:00,https://gz.shop.fang.com/zu/3_241648498.html,"113.323533,23.142046"
,14182元/月,押三付一,18.00㎡,,,,第2层(共38层),简装修,住宅底商,否,,琶洲商业广场商铺,海珠琶洲蟠龙新街3号,,,4.20米,客梯0个，货梯0个,4.00元/㎡·月,"客梯,货梯,扶梯,上水,下水",2019/7/22 12:01:51,https://gz.shop.fang.com/zu/3_231919369.html,"113.383905,23.098788"
,151800元/月,押二付一,117720.00㎡,586㎡,,,第1层(共1层),精装修,住宅底商,是,,银汇华庭商铺,天河区龙怡路113号,20.00米,10.00米,6.00米,客梯2个，货梯2个,2.10元/㎡·月,"停车位,客梯,货梯,扶梯,上水,下水",2019/8/30 14:11:25,https://gz.shop.fang.com/zu/3_241857118.html,"113.345063,23.143964"
,74000元/月,租金已包含,第1层(共5层),,,,住宅底商,,否,东风西路,,东风西路,,,,,,210㎡,,2019/8/27 10:48:26,https://gz.shop.fang.com/zu/3_241767351.html,"113.237415,23.137697"
,68000元/月,租金已包含,暂无,,,,住宅底商,,否,珠江新城中区商铺,,客梯0个，货梯0个,珠江新城中区商铺,,,,0.00㎡,96㎡,,2019/8/25 12:44:34,https://gz.shop.fang.com/zu/3_241722783.html,
,168870元/月,押二付一,0.00㎡,,,,第2层(共3层),毛坯,住宅底商,否,"生活服务,美容美发",工业大道中商铺,海珠区工业大道中,5.00米,20.00米,4.00米,客梯0个，货梯0个,5.00元/㎡·月,"客梯,货梯,上水,下水",2019/8/3 12:46:42,https://gz.shop.fang.com/zu/3_241106976.html,"113.292616,23.057962"
,185000元/月,1019㎡,暂无,,,,商业街商铺,,否,宝岗大道商铺,,客梯0个，货梯0个,1.00米,1.00米,3.00米,宝岗大道商铺,0.00㎡,,,2019/9/11 10:03:06,https://gz.shop.fang.com/zu/3_242192815.html,
,32000元/月,租金已包含,第1层(共5层),,,,写字楼配套底商,,否,城建大厦,,广州天河区体育西路189号,,,,,,201㎡,,2019/8/27 10:45:20,https://gz.shop.fang.com/zu/3_241767131.html,"113.321140,23.138860"
,30000元/月,租金已包含,2007-01-06,,,,住宅底商,,否,美林湖畔商铺,,客梯0个，货梯0个,美林湖畔商铺,,,,1000000.00㎡,100㎡,,2019/8/20 17:14:52,https://gz.shop.fang.com/zu/3_241588356.html,
,8000元/月,押二付一,392000.00㎡,50㎡,,,第1层(共1层),毛坯,写字楼配套底商,是,"生活服务,美容美发,餐饮美食",白云万达广场商铺,云城东路501号,5.00米,15.00米,6.00米,客梯0个，货梯0个,10.00元/㎡·月,"上水,下水,可明火,排烟,排污,外摆区",2019/7/23 10:05:49,https://gz.shop.fang.com/zu/3_237645166.html,"113.264917,23.172898"
