cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu,shiyongmianji,location_coords,city
6.00米,第1层(共6层),"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",18㎡,4.50米,"越秀,北京路,北京路步行街",北京路322号附近,北京路步行街,4.00米,2019/8/24 21:03:28,30.00元/㎡·月,临街门面,是,餐饮美食,北京路 步行街 超火红一点点 拐角处 人流爆满 价26万 包过户 出,26万,https://gz.shop.fang.com/shou/3_241710623.html,精装修,,"113.269225,23.119908",广州
6.00米,第1层(共1层),,32㎡,4.00米,"广州周边,佛山,世博广场",佛山市禅城区汾江南路38号,世博广场,8.00米,2019/8/21 18:10:14,0.00元/㎡·月,其他,否,,佛山世博广场 地铁一二号线换乘点商场 地铁直连负一 产权地铁,42万,https://gz.shop.fang.com/shou/3_241618555.html,精装修,,,广州
7.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",16㎡,8.00米,"海珠,客村,丽影商业广场",丽影商业广场,丽影商业广场,6.00米,2019/8/23 21:24:32,0.00元/㎡·月,商业街商铺,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",广州地标旁 客村丽影广场 餐饮不受电商打击 带租约13000 急售,18万,https://gz.shop.fang.com/shou/3_241684387.html,精装修,14㎡,"113.321542,23.095747",广州
3.50米,第2层(共5层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调",18.3㎡,4.50米,"天河,体育中心,正佳广场",天河路208号,正佳广场,4.10米,2019/9/3 15:18:12,40.00元/㎡·月,购物中心/百货,否,餐饮美食,产权急售 实用率 正佳广场主通道铺 带租约月收13000,25万,https://gz.shop.fang.com/shou/3_241964331.html,精装修,,"113.327990,23.132189",广州
7.00米,第1层(共1层),"网络,暖气,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",9㎡,8.00米,"天河,龙洞,龙洞步行街",广州市天河区东北部龙洞街道辖区,龙洞步行街,6.00米,2019/8/28 20:56:40,10.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",急售 龙洞步行街 双门面七字位临街 茶饮经营中 8750,25万,https://gz.shop.fang.com/shou/3_241813417.html,精装修,,"113.366650,23.194679",广州
5.00米,第1层(共5层),"网络,停车位,上水,下水,可明火,排烟,排污,燃气,外摆区",14㎡,3.00米,"番禺,市桥北,易发商业街",桥繁华路易发街,易发商业街,4.00米,2019/8/29 21:20:32,10.00元/㎡·月,商业街商铺,是,餐饮美食,总价15万买易发商业街临街铺位 带产权带租约14000/月 产权清晰,22万,https://gz.shop.fang.com/shou/3_241843320.html,精装修,,"113.361443,22.941187",广州
4.00米,第1层(共5层),"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,4.00米,"荔湾,荔湾,上下九美食广场",上下九美食广场,上下九美食广场,5.00米,2019/8/6 18:36:38,5.00元/㎡·月,住宅底商,是,百货超市,点击将是您魄力的一次！无法想象的商业项目！详情点击！,42万,https://gz.shop.fang.com/shou/3_241198060.html,精装修,,"113.241982,23.115623",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,燃气,外摆区",12㎡,8.00米,"天河,体育中心,天河又一城",体育西路54号,天河又一城,6.00米,2019/8/23 10:21:02,10.00元/㎡·月,购物中心/百货,是,餐饮美食,天河又一城 大卡司 承租 月收13000 总价50万 诚信交易 产权清晰,50万,https://gz.shop.fang.com/shou/3_241661133.html,精装修,,"113.322511,23.132153",广州
7.00米,第3层(共22层),,20㎡,8.00米,"番禺,市桥北,永旺梦乐城",广州市番禺区大龙街亚运大道1号,永旺梦乐城,6.00米,2019/8/20 10:27:47,0.00元/㎡·月,住宅底商,是,百货超市,新收首付5万永旺梦乐城 包管理 收租18万/年 地铁江夏站,15.2万,https://gz.shop.fang.com/shou/3_241574586.html,精装修,,"113.388100,22.936555",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯",19㎡,5.60米,"花都,狮岭,狮岭大道",广州市花都区狮岭大道,狮岭大道,3.90米,2019/8/31 18:12:48,0.00元/㎡·月,住宅底商,否,,业主要钱不要铺 急售 狮岭步行街,32万,https://gz.shop.fang.com/shou/3_241891663.html,简装修,,"113.185827,23.465587",广州
5.50米,第1层(共1层),,20㎡,6.00米,"海珠,江南大道,江南新地商业街",江南西路46号人防工程地下一层、地下二层,江南新地商业街,5.00米,2019/7/31 19:05:26,0.00元/㎡·月,其他,否,,江南新地 人气小铺芳叔承租 月收13000 产权清晰 主干道,30万,https://gz.shop.fang.com/shou/3_241026329.html,精装修,,"113.269662,23.094417",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",15㎡,3.00米,"白云,机场路,白云万达广场",云城东路501号,白云万达广场,5.00米,2019/9/3 21:24:58,10.00元/㎡·月,购物中心/百货,否,"百货超市,餐饮美食",白云万达广场！皇茶 带13000租约出售！产权清晰！业主急售！,30万,https://gz.shop.fang.com/shou/3_241977202.html,精装修,,"113.264917,23.172898",广州
3.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",18㎡,3.00米,"天河,体育中心,时尚天河商业广场",广州天河体育中心正南门西侧,时尚天河商业广场,6.00米,2019/8/29 18:49:18,10.00元/㎡·月,住宅底商,否,"百货超市,服饰鞋包,美容美发,餐饮美食",时尚天河 产权餐饮铺 烧仙草 带15000租约出售 产权清晰 业主急售,45万,https://gz.shop.fang.com/shou/3_241838667.html,精装修,,"113.323714,23.133875",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,上水,下水,可明火,排烟,排污,燃气,外摆区",21㎡,8.00米,"天河,天河南,天河南一路",天河南一路（天河南商业街附近）,天河南一路,6.00米,2019/8/2 19:59:03,0.00元/㎡·月,商业街商铺,否,"美容美发,餐饮美食",天河南一路步行街 一嚸嚸店 月租收20000 产权清晰 红本过户,48万,https://gz.shop.fang.com/shou/3_241090851.html,精装修,,"113.325308,23.130600",广州
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",16㎡,4.00米,"越秀,北京路,北京路步行街",北京路322号附近,北京路步行街,4.00米,2019/8/13 21:19:04,10.00元/㎡·月,商业街商铺,否,"美容美发,餐饮美食,服饰鞋包,生活服务,酒店宾馆,家居建材,百货超市,休闲娱乐",(急售) 北京路 临街铺位 开胃鲜果 带租约8000 即买即收租,30万,https://gz.shop.fang.com/shou/3_241403510.html,简装修,,"113.269225,23.119908",广州
3.50米,,"网络,暖气,中央空调,上水,下水,可明火,排烟,排污,燃气",9㎡,3.00米,"越秀,北京路,益禾堂",益禾堂,益禾堂,3.00米,2019/8/15 16:40:03,5.00元/㎡·月,商业街商铺,否,餐饮美食,北京路地铁口网红店铺益禾堂(卖断产权)现租一万六带红本超聚人,15万,https://gz.shop.fang.com/shou/3_241451831.html,精装修,8㎡,"113.455961,23.261506",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,4.00米,"广州周边,佛山,佛山万科广场",佛山南海区万科广场,佛山万科广场,5.00米,2019/9/3 15:36:34,0.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",业主急需套现急售 佛山南海万科广场成熟商圈 稳定收租,45万,https://gz.shop.fang.com/shou/3_241964918.html,精装修,,"113.402586,23.168336",广州
3.00米,第1层(共1层),"网络,停车位,上水,下水,可明火,排烟,排污,燃气",18㎡,3.00米,"天河,车陂,车陂路",天河车陂路,车陂路,6.00米,2019/9/3 17:01:11,10.00元/㎡·月,临街门面,否,"餐饮美食,服饰鞋包,美容美发,百货超市",车陂地铁口 临街餐饮铺 皇茶 带租约15000/月 产权清晰 红本在手,45万,https://gz.shop.fang.com/shou/3_241968253.html,精装修,,"113.392198,23.126335",广州
5.80米,第1层(共1层),"网络,暖气,停车位,扶梯,上水,下水,可明火,排烟,排污,燃气",10㎡,2.00米,"天河,体育中心,天河又一城",体育西路54号,天河又一城,5.00米,2019/8/25 13:14:59,0.00元/㎡·月,购物中心/百货,否,"美容美发,餐饮美食,休闲娱乐",天河又一城 主通道铺位 带租约13000/月 产权清晰 业主急售,29万,https://gz.shop.fang.com/shou/3_241723370.html,毛坯,,"113.322511,23.132153",广州
5.50米,第1层(共1层),"网络,暖气,停车位,客梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,10.00米,"黄埔,大沙地,黄氏正轩",大沙地黄氏正轩牛奶店大沙西路166号,黄氏正轩,2.00米,2019/8/3 17:09:34,0.00元/㎡·月,住宅底商,否,百货超市,大沙地地铁口 一线临街甜品铺 带18000租约出售 价格可谈,33.8万,https://gz.shop.fang.com/shou/3_241115420.html,精装修,,"113.808349,23.288274",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",25㎡,5.00米,"荔湾,黄沙,西城都荟",黄沙大道8号,西城都荟,5.00米,2019/7/31 22:01:28,0.00元/㎡·月,商业街商铺,否,餐饮美食,黄沙地铁站西城都荟 产权餐饮 1万1 带租约出售,39.5万,https://gz.shop.fang.com/shou/3_241031553.html,精装修,,"113.240516,23.111138",广州
5.00米,第1层(共1层),"网络,上水,下水,可明火,排烟,排污",22㎡,5.00米,"荔湾,西关,上下九路",荔湾区上下九路与上下九步行街,上下九路,4.00米,2019/9/3 22:06:28,10.00元/㎡·月,商业街商铺,是,"餐饮美食,休闲娱乐",业主急需资金急售 老长沙香肠 收租12000 上下九步行街 产权清晰,48万,https://gz.shop.fang.com/shou/3_241978334.html,精装修,,"113.246193,23.113597",广州
7.00米,第6层(共6层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排污,燃气",12㎡,2.00米,"天河,体育中心,正佳广场",天河路208号,正佳广场,6.00米,2019/8/8 15:51:06,10.00元/㎡·月,购物中心/百货,是,"生活服务,餐饮美食,休闲娱乐",急售！ 正佳广场 恋暖初茶 7字位 月租12000 产权租约清晰,36万,https://gz.shop.fang.com/shou/3_241248988.html,精装修,,"113.327990,23.132189",广州
5.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",15㎡,3.00米,"佛山,南海,南海永旺梦乐城",南海永旺梦乐城,南海永旺梦乐城,5.00米,2019/7/29 19:28:51,5.00元/㎡·月,商业街商铺,是,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",非使用权 永旺梦乐城 内部保留单位 总价15万 带10000租约出售,15万,https://gz.shop.fang.com/shou/3_240969556.html,简装修,14㎡,"113.387632,22.937166",广州
6.00米,第1层(共6层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",16㎡,4.00米,"越秀,北京路,北京路步行街",北京路322号附近,北京路步行街,4.00米,2019/8/16 22:27:50,30.00元/㎡·月,商业街商铺,是,餐饮美食,北京路 临街一线金铺 近地铁 益禾堂 日均人流量50万 总价23万,23万,https://gz.shop.fang.com/shou/3_241491218.html,精装修,,"113.269225,23.119908",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",36㎡,8.00米,"番禺,市桥北,永旺梦乐城",广州市番禺区大龙街亚运大道1号,永旺梦乐城,6.00米,2019/8/23 10:51:11,0.00元/㎡·月,临街门面,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",番禺永旺梦乐城正门主通道奶茶 总价50万 带租约出售,50万,https://gz.shop.fang.com/shou/3_241662875.html,精装修,,"113.388100,22.936555",广州
5.00米,第1层(共1层),,12㎡,4.00米,"天河区,东圃,东圃广场",黄村西路8号,东圃广场,3.00米,2019/9/3 16:13:58,0.00元/㎡·月,商业街商铺,否,餐饮美食,东圃 四季时尚荟 影院内 人流稳定 即买即收租,18万,https://gz.shop.fang.com/shou/3_241966389.html,简装修,,"113.406011,23.122873",广州
7.00米,第1层(共1层),"停车位,客梯,货梯,扶梯,中央空调",15㎡,3.00米,"黄埔,萝岗,萝岗万达广场",科学城开创大道与科丰路交汇处,萝岗万达广场,5.00米,2019/8/31 16:13:45,5.00元/㎡·月,购物中心/百货,是,"餐饮美食,休闲娱乐",急售 萝岗万达一层铺位 一套19万起 11000 红本急售,19万,https://gz.shop.fang.com/shou/3_241888298.html,精装修,,"113.465038,23.168278",广州
5.00米,第1层(共7层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",12㎡,3.00米,"白云,机场路,白云万达广场",云城东路501号,白云万达广场,4.00米,2019/9/4 9:42:47,15.00元/㎡·月,购物中心/百货,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",急售 白云万达广场 主通道 双门面铺位 月租8000 即买即收租,16万,https://gz.shop.fang.com/shou/3_241981776.html,精装修,,"113.264917,23.172898",广州
5.50米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,燃气",16㎡,10.00米,"海珠,江南西商业区,乐峰广场",海珠-江南西商业区-乐峰广场,乐峰广场,1.60米,2019/5/24 13:54:32,0.00元/㎡·月,购物中心/百货,否,"服饰鞋包,生活服务,休闲娱乐",乐峰广场芳淑餐饮产权出售16000,31万,https://gz.shop.fang.com/shou/3_238871683.html,简装修,,"113.258688,23.088929",广州
7.00米,第1层(共1层),,21㎡,5.00米,"广州周边区,佛山,敏捷金谷国际",汾江北路32号,敏捷金谷国际,4.00米,2019/9/1 10:38:14,0.00元/㎡·月,商业街商铺,否,,禅城 三地铁餐饮铺32万买断不动产权证 现铺,32万,https://gz.shop.fang.com/shou/3_241903876.html,毛坯,,"113.269225,23.119908",广州
6.00米,第1层(共6层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,4.00米,"花都,新区,保利花城",花都区三东大道以西,保利花城,5.00米,2019/7/16 13:02:48,0.00元/㎡·月,商业街商铺,否,餐饮美食,业主急售 总价29.8万/间的红本铺位 即买即收租,29.8万,https://gz.shop.fang.com/shou/3_240584786.html,精装修,,"113.197221,23.418477",广州
7.00米,第1层(共1层),,25㎡,5.00米,"白云,机场路,白云万达广场",云城东路501号,白云万达广场,5.00米,2019/8/30 14:48:30,0.00元/㎡·月,其他,否,,7字位 带产权出售 有红本 白云 万达广场 月租15000,45万,https://gz.shop.fang.com/shou/3_241858621.html,精装修,,"113.264917,23.172898",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,5.00米,"海珠,江南大道,万国广场",江南大道中133号,万国广场,4.00米,2019/7/30 19:32:11,0.00元/㎡·月,商业街商铺,否,餐饮美食,海珠万国广场 品牌租户带长期租约出售 总价50万 随时约看铺,50万,https://gz.shop.fang.com/shou/3_240998451.html,精装修,,"113.272883,23.101389",广州
6.00米,第1层(共1层),,15㎡,3.00米,"天河,体育中心,天河又一城",体育西路54号,天河又一城,5.00米,2019/9/1 10:35:55,0.00元/㎡·月,商业街商铺,否,,天河又一城 一口价26万 买断产权 手扶梯,26万,https://gz.shop.fang.com/shou/3_241903705.html,毛坯,,"113.322511,23.132153",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,5.00米,"海珠,客村,丽影商业广场",新港中路珠影正门东侧,丽影商业广场,4.00米,2019/9/3 16:09:11,0.00元/㎡·月,临街门面,否,餐饮美食,丽影广场品牌租户高人流地段带红本可过户月租一万三,21万,https://gz.shop.fang.com/shou/3_241966223.html,精装修,,"113.321542,23.095747",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",24㎡,6.00米,"天河,龙洞,天河区社区底商",龙洞,天河区社区底商,4.00米,2019/8/30 14:37:41,0.00元/㎡·月,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",社区底商便利店出售 业主急需用钱  随时看铺,22万,https://gz.shop.fang.com/shou/3_241858212.html,精装修,,"113.364954,23.120292",广州
5.00米,第3层(共3层),"网络,暖气,停车位,客梯,货梯,扶梯",25㎡,5.00米,"番禺,番禺周边,广州南站-B16-17B入闸口",广州南站-B16-17B入闸口,广州南站-B16-17B入闸口,5.00米,2019/9/4 16:19:56,16.00元/㎡·月,住宅底商,否,,广州南站地铁口 带租约 月收/租12000 业主急售,28万,https://gz.shop.fang.com/shou/3_241997520.html,精装修,,"113.269316,22.988719",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,燃气,外摆区",21㎡,8.00米,"广州周边,佛山,世博广场",佛山市禅城区汾江南路38号,世博广场,6.00米,2019/9/4 14:55:17,0.00元/㎡·月,住宅底商,是,"百货超市,服饰鞋包,生活服务,餐饮美食,休闲娱乐",1号线魁奇路旁 世博广场 转让花店月租11000起 产权清晰,23万,https://gz.shop.fang.com/shou/3_241994291.html,精装修,,,广州
3.00米,第1层(共1层),"货梯,扶梯",10㎡,4.00米,"白云,白云大道北,人和商业中心",广州市白云区人和镇西成路8号,人和商业中心,5.00米,2019/9/1 14:56:24,0.00元/㎡·月,住宅底商,否,,阿琴包点每天排队买早餐稳定1万2红本过户,13万,https://gz.shop.fang.com/shou/3_241913112.html,简装修,,"113.292973,23.342711",广州
4.00米,第1层(共4层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,外摆区",22㎡,4.00米,"越秀,北京路,北京路步行街",北京路322号附近,北京路步行街,5.00米,2019/8/8 11:29:48,30.00元/㎡·月,商业街商铺,是,"百货超市,餐饮美食,休闲娱乐",北京路步行街米芝莲 现租1万 产权出售 位置显眼人流大 难得靓铺,25万,https://gz.shop.fang.com/shou/3_241238705.html,精装修,,"113.269225,23.119908",广州
5.50米,第1层(共3层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",12㎡,10.00米,"海珠,东晓南,东晓南路",海珠东晓南路,东晓南路,1.20米,2019/6/30 18:52:37,0.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",海珠东晓南路奶茶店地铁口带租约1.3万产权清晰人流旺,28万,https://gz.shop.fang.com/shou/3_240125286.html,简装修,,"113.292090,23.073100",广州
7.00米,第7层(共7层),"网络,停车位,客梯,货梯,扶梯,燃气",12㎡,8.00米,"天河,体育中心,正佳广场",天河路208号,正佳广场,6.00米,2019/9/3 21:18:32,16.00元/㎡·月,住宅底商,否,,正佳广场 查理宜世 带租约出售 月收/租10000 产权清晰 来电约看,28万,https://gz.shop.fang.com/shou/3_241977018.html,精装修,,"113.327990,23.132189",广州
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",16㎡,4.00米,"海珠,客村,丽影商业广场",新港中路珠影正门东侧,丽影商业广场,4.00米,2019/8/23 9:29:26,5.00元/㎡·月,商业街商铺,否,餐饮美食,可按揭 ！客村丽影广场 临街益和堂 带产权出售 租约1万 可过户,12万,https://gz.shop.fang.com/shou/3_241659066.html,精装修,,"113.321542,23.095747",广州
6.00米,第1层(共1层),"网络,暖气,停车位,上水,下水,可明火,排烟,排污,燃气",17㎡,4.00米,"荔湾,西关,恒宝广场",荔湾区宝华路133号,恒宝广场,4.00米,2019/8/29 22:29:36,10.00元/㎡·月,商业街商铺,否,"餐饮美食,休闲娱乐",新收 一线临街产权铺 日均人流5万以上 稳定月租1万1 产权清晰,31万,https://gz.shop.fang.com/shou/3_241844901.html,精装修,,"113.241614,23.117430",广州
7.00米,第1层(共5层),,20㎡,8.00米,"越秀,解放北,白马服装市场",站南路16号,白马服装市场,6.00米,2019/9/4 16:05:16,0.00元/㎡·月,其他,否,,靓铺 急售 广州白马服装市场 稳定 带租19000/月 人流,28.5万,https://gz.shop.fang.com/shou/3_241997106.html,精装修,,"113.253709,23.146566",广州
7.00米,第1层(共1层),,25㎡,8.00米,"白云,机场路,白云万达广场",云城东路501号,白云万达广场,6.00米,2019/9/3 21:44:56,0.00元/㎡·月,其他,否,,新收 7字位带产权出售白云万达广场 带10500租约 3年,49.6万,https://gz.shop.fang.com/shou/3_241977738.html,精装修,,"113.264917,23.172898",广州
4.50米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯",9㎡,4.00米,"天河,体育中心,体育西路小区",广州市体育西路,体育西路小区,3.00米,2019/9/1 15:00:46,0.00元/㎡·月,住宅底商,否,,天河又一城有小吃铺位急售月租15500,23万,https://gz.shop.fang.com/shou/3_241913054.html,简装修,,"113.325156,23.130218",广州
5.00米,第1层(共3层),,16㎡,4.00米,"越秀,北京路,名门越秀",万福路291至295号,名门越秀,4.00米,2019/9/4 16:51:42,15.00元/㎡·月,其他,否,,地段好.收租稳北京路步行街 业主诚心卖 速来,11.8万,https://gz.shop.fang.com/shou/3_241998883.html,简装修,,"113.224854,23.405922",广州
4.50米,第4层(共7层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",24㎡,4.50米,"天河,体育中心,正佳广场",天河路208号,正佳广场,4.50米,2019/9/3 22:09:43,15.00元/㎡·月,购物中心/百货,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",正佳广场 实拍场景 首层美宜佳超市 双门面 月租8500 带租约出售,26.8万,https://gz.shop.fang.com/shou/3_241978409.html,简装修,,"113.327990,23.132189",广州
5.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",25㎡,5.00米,"天河,体育中心,芳叔",芳叔,芳叔,5.00米,2019/8/28 21:36:23,5.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",新收 正佳广场主通道门面芳叔 人流大 出售产权现租一万三带红本,23万,https://gz.shop.fang.com/shou/3_241814490.html,精装修,24㎡,"113.342474,22.975396",广州
