zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url,location_coords
,16000元/月,押二付三,100000.00㎡,,,,第3层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,20.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/19 9:52:27,https://shop.fang.com/zu/3_437587127.html,"116.458705,39.906458"
,23000元/月,押一付三,100000.00㎡,,,,第1层(共3层),精装修,临街门面,否,餐饮美食,建外SOHO商铺,东三环中路39号,10.00米,5.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,中央空调,排烟,燃气",2019/8/23 11:18:05,https://shop.fang.com/zu/3_437796677.html,"116.458705,39.906458"
,36000元/月,押一付三,130㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:11:17,https://shop.fang.com/zu/3_438541975.html,"116.458705,39.906458"
,135000元/月,押二付三,0.00㎡,,,,第1层(共1层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,15.00米,20.00米,4.20米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/15 20:48:50,https://shop.fang.com/zu/3_437433711.html,"116.490141,39.995086"
,70000元/月,押三付三,100000.00㎡,,,,第2层(共30层),精装修,写字楼配套底商,否,"生活服务,美容美发,餐饮美食",建外SOHO商铺,东三环中路39号,15.00米,12.00米,3.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/18 10:28:58,https://shop.fang.com/zu/3_437549884.html,"116.458705,39.906458"
,40000元/月,押一付三,100000.00㎡,,,,第1层(共3层),精装修,临街门面,否,健身，瑜伽，培训,建外SOHO商铺,东三环中路39号,8.00米,8.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,中央空调,可明火,排烟,燃气",2019/8/26 15:08:42,https://shop.fang.com/zu/3_437928012.html,"116.458705,39.906458"
,405000元/月,押二付三,900㎡,,,,第1层(共3层),简装修,住宅底商,是,"百货超市,生活服务,美容美发,休闲娱乐",西大望路鸿坤花语墅,鸿坤花语墅,16.00米,15.00米,3.50米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/6/15 14:09:29,https://shop.fang.com/zu/3_434054877.html,"116.478460,39.881444"
,60000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,28.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/20 9:44:06,https://shop.fang.com/zu/3_437627774.html,"116.458705,39.906458"
,438900元/月,半年付,1900㎡,,,,第6层(共6层),毛坯,购物中心/百货,否,"百货超市,家居建材,服饰鞋包,生活服务",新荟城,北京市朝阳区望京东园一区120号,50.00米,25.00米,5.50米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/26 19:29:36,https://shop.fang.com/zu/3_437937543.html,"116.481863,39.998482"
,90000元/月,押一付三,100000.00㎡,,,,第1层(共2层),精装修,临街门面,否,"服饰鞋包,生活服务,美容美发,休闲娱乐",建外SOHO商铺,东三环中路39号,18.00米,15.00米,4.20米,客梯12个，货梯2个,30.00元/㎡·月,"网络,暖气,上水,下水,排烟,燃气",2019/7/19 17:17:03,https://shop.fang.com/zu/3_436020476.html,"116.458705,39.906458"
,30000元/月,押一付三,100000.00㎡,,,,第2层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,10.00米,15.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟",2019/7/19 13:48:00,https://shop.fang.com/zu/3_436009491.html,"116.458705,39.906458"
,37500元/月,押一付三,90700.00㎡,,,,第1层(共3层),简装修,临街门面,是,百货超市,格瑞雅居商铺,内环路9号，八通线城铁果园站南700米,6.00米,12.00米,5.00米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451447.html,"116.645090,39.886163"
,72000元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,15.00米,20.00米,5.20米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/11 9:24:27,https://shop.fang.com/zu/3_427829198.html,"116.481050,39.996794"
,78000元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,20.00米,5.20米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/7 16:48:50,https://shop.fang.com/zu/3_426156128.html,"116.481050,39.996794"
,420000元/月,押二付三,2800㎡,,,,第1层(共3层),精装修,写字楼配套底商,是,,汇中广场,亚运村北苑路北汇中广场,10.00米,15.00米,4.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/9/10 11:23:32,https://shop.fang.com/zu/3_438547831.html,"116.414502,40.032312"
,1404000元/月,押三付三,3900㎡,,,,第3层(共23层),精装修,住宅底商,否,"百货超市,酒店宾馆,家居建材,生活服务,美容美发,餐饮美食,休闲娱乐",世奥国际中心,芍药居北里101号世奥国际,60.00米,40.00米,4.00米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气",2019/7/29 19:37:38,https://shop.fang.com/zu/3_436545028.html,"116.431690,39.988373"
,70000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,20.00米,15.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/9/5 8:58:52,https://shop.fang.com/zu/3_438331100.html,"116.458705,39.906458"
,25000元/月,押一付三,70㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:21:31,https://shop.fang.com/zu/3_438542889.html,"116.458705,39.906458"
,116392元/月,押二付三,490000.00㎡,,,,第1层(共2层),精装修,临街门面,是,"百货超市,家居建材,生活服务,美容美发,餐饮美食,休闲娱乐",SOHO现代城商业,建国路88号,10.00米,20.00米,4.50米,客梯3个，货梯1个,4.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,可明火,燃气,外摆区",2019/7/16 9:26:33,https://shop.fang.com/zu/3_435831009.html,"116.476942,39.907532"
,120000元/月,押二付三,330000.00㎡,,,,第2层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,20.00米,35.00米,5.20米,客梯18个，货梯6个,33.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/8/21 9:52:32,https://shop.fang.com/zu/3_437689315.html,"116.433366,39.920552"
,367500元/月,半年付,3500㎡,,,,第1层(共2层),简装修,其他,否,汽车,新发地汽车市场,北京市丰台区南四环中路260号新发地汽车交易市场,40.00米,30.00米,4.50米,,12.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,外摆区",2019/7/24 13:01:59,https://shop.fang.com/zu/3_430838909.html,"116.350018,39.830336"
,90750元/月,押一付三,550㎡,,,,第1层(共3层),简装修,商业街商铺,否,,龙湖长楹天街,朝阳北路管庄路口向东50米,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,客梯,燃气",2019/7/30 9:36:11,https://shop.fang.com/zu/3_436560016.html,"116.598094,39.924312"
,60000元/月,押二付三,0.00㎡,,,,第1层(共3层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,10.00米,12.00米,4.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/27 16:23:53,https://shop.fang.com/zu/3_436444860.html,"116.490141,39.995086"
,60000元/月,押一付三,0.00㎡,,,,第1层(共1层),精装修,住宅底商,否,,保利中央公园商铺,望京东园七区,10.00米,20.00米,4.20米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/15 20:41:02,https://shop.fang.com/zu/3_437433317.html,"116.490141,39.995086"
,69000元/月,押一付三,230㎡,,,,第1层(共5层),简装修,住宅底商,是,百货超市,新时代国际中心,北京市丰台区福宜街,15.00米,10.00米,5.00米,,27.00元/㎡·月,"网络,暖气,停车位,货梯,中央空调,上水,下水,排污",2019/9/6 12:12:44,https://shop.fang.com/zu/3_438394338.html,"116.557050,39.724903"
,15000元/月,押一付三,101㎡,,,,第2层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 11:40:10,https://shop.fang.com/zu/3_438549337.html,"116.458705,39.906458"
,12000元/月,押二付三,650000.00㎡,,,,第1层(共3层),精装修,商业街商铺,否,餐饮美食,龙湖长楹天街商铺,朝阳北路管庄路口向东50米,5.00米,4.00米,3.00米,客梯4个，货梯2个,租金已包含,"暖气,停车位,燃气",2019/7/30 9:40:21,https://shop.fang.com/zu/3_436559941.html,"116.598094,39.924312"
,65000元/月,半年付,120000.00㎡,,,,第1层(共1层),简装修,写字楼配套底商,否,"服饰鞋包,美容美发,休闲娱乐",三里屯SOHO商铺,三里屯工体北路南侧，南三里屯路西侧,5.00米,8.00米,4.00米,客梯0个，货梯0个,30.00元/㎡·月,"排烟,排污",2019/8/31 12:09:49,https://shop.fang.com/zu/3_425061633.html,"116.461056,39.949984"
,72900元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,10.00米,5.00米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/2 11:50:46,https://shop.fang.com/zu/3_438218645.html,"116.481050,39.996794"
,39900元/月,押二付三,330000.00㎡,,,,第2层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,15.00米,18.00米,5.20米,客梯18个，货梯6个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排污,外摆区",2019/7/17 9:25:57,https://shop.fang.com/zu/3_435881277.html,"116.433366,39.920552"
,90000元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,20.00米,5.20米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/15 20:35:21,https://shop.fang.com/zu/3_437433079.html,"116.481050,39.996794"
,201300元/月,押三付三,610㎡,590㎡,,,第1层(共2层),简装修,住宅底商,否,"生活服务,美容美发,休闲娱乐",蓝筹名座,蓝筹名座,20.00米,15.00米,4.00米,,15.00元/㎡·月,"上水,下水",2019/7/22 11:05:49,https://shop.fang.com/zu/3_436169377.html,"116.438750,39.926718"
,65340元/月,押一付三,32000.00㎡,350㎡,,,第1层(共18层),精装修,写字楼配套底商,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",朝阳门SOHO商铺,朝阳门内大街2号(邮编：100010),30.00米,15.00米,6.00米,客梯8个，货梯2个,26.50元/㎡·月,"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/7/25 8:49:17,https://shop.fang.com/zu/3_436307630.html,"116.432751,39.922435"
,25000元/月,押二付三,100000.00㎡,,,,第1层(共3层),简装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,8.00米,6.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/7/19 13:24:30,https://shop.fang.com/zu/3_436008731.html,"116.458705,39.906458"
,51450元/月,面议,245㎡,,,,第1层(共8层),简装修,住宅底商,是,,田村,田村,8.00米,42.00米,3.50米,,租金已包含,,2019/6/15 10:22:18,https://shop.fang.com/zu/3_434040566.html,"116.247554,39.929350"
,285495元/月,半年付,0.00㎡,2000㎡,,,第-1层(共3层),简装修,商业街商铺,是,休闲娱乐,泛海国际底商,北京市朝阳区星火西路19号,30.00米,70.00米,3.50米,客梯0个，货梯0个,5.00元/㎡·月,"暖气,停车位,扶梯,中央空调",2019/8/20 16:16:43,https://shop.fang.com/zu/3_437655982.html,"116.492886,39.933631"
,720000元/月,半年付,1600㎡,,,,第1层(共2层),毛坯,临街门面,是,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",亮马国际茶城,朝阳区亮马桥路27号,24.00米,30.00米,4.00米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污",2019/8/14 16:18:08,https://shop.fang.com/zu/3_422797944.html,"116.476105,39.954318"
,24000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,10.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水,排烟,燃气",2019/8/16 15:34:22,https://shop.fang.com/zu/3_437471096.html,"116.458705,39.906458"
,74520元/月,押二付三,0.00㎡,,,,第1层(共1层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,10.00米,10.00米,5.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/24 15:49:55,https://shop.fang.com/zu/3_432637176.html,"116.490141,39.995086"
,70110元/月,面议,120000.00㎡,,,,第2层(共4层),毛坯,写字楼配套底商,否,"服饰鞋包,生活服务",三里屯SOHO商铺,三里屯工体北路南侧，南三里屯路西侧,12.00米,12.00米,4.00米,客梯0个，货梯0个,30.00元/㎡·月,"上水,下水",2019/8/1 11:38:53,https://shop.fang.com/zu/3_436676433.html,"116.461056,39.949984"
,3398220元/月,半年付,3780㎡,,,,第1层(共3层),毛坯,住宅底商,否,汽车，奢侈品,华贸商业街,北京市朝阳区建国路89号院18号楼,40.00米,25.00米,4.50米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/6 16:44:35,https://shop.fang.com/zu/3_435312513.html,"116.481698,39.911179"
,38000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,30.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水,排烟,排污",2019/8/6 15:22:38,https://shop.fang.com/zu/3_436957156.html,"116.458705,39.906458"
,150000元/月,押二付三,0.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,10.00米,50.00米,5.20米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/15 21:10:05,https://shop.fang.com/zu/3_437434847.html,"116.490141,39.995086"
,25000元/月,押二付三,100000.00㎡,,,,第1层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,8.00米,8.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排污,外摆区",2019/7/18 10:27:10,https://shop.fang.com/zu/3_435940177.html,"116.458705,39.906458"
,23400元/月,押一付三,156㎡,,,,第1层(共1层),简装修,临街门面,否,,通州区东关商业区,车站路中段临街商业房,8.00米,20.00米,5.00米,,15.00元/㎡·月,,2019/9/6 13:00:58,https://shop.fang.com/zu/3_438395474.html,"116.696110,39.870549"
,295500元/月,押三付三,394㎡,236㎡,,,第1层(共33层),毛坯,写字楼配套底商,否,汽车，银行,英皇集团中心,朝阳区建国门外大街丁12号,15.00米,16.00米,5.20米,,40.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟",2019/8/26 18:35:02,https://shop.fang.com/zu/3_430969445.html,"116.444508,39.908157"
,55000元/月,押二付三,120000.00㎡,,,,第-1层(共5层),毛坯,住宅底商,否,,三里屯SOHO商铺,三里屯工体北路南侧，南三里屯路西侧,5.00米,99.00米,4.60米,客梯0个，货梯0个,租金已包含,"暖气,停车位,客梯,货梯,扶梯,中央空调",2019/9/11 12:35:45,https://shop.fang.com/zu/3_438592320.html,"116.461056,39.949984"
,139800元/月,押二付三,330000.00㎡,,,,第1层(共18层),毛坯,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,20.00米,15.00米,5.60米,客梯18个，货梯6个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排污",2019/8/12 9:19:04,https://shop.fang.com/zu/3_437250595.html,"116.433366,39.920552"
,3300000元/月,押三付三,4400㎡,,,,第1层(共1层),毛坯,写字楼配套底商,否,"服饰鞋包,生活服务",天润财富中心四合院,东城区东总布胡同58号,100.00米,25.00米,5.00米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/7/6 13:14:03,https://shop.fang.com/zu/3_435298011.html,"116.427258,39.911263"
,53400元/月,押二付三,200㎡,,,,第1层(共4层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京商业中心,阜通东大街,10.00米,10.00米,5.20米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/24 15:49:55,https://shop.fang.com/zu/3_432797085.html,"116.468758,40.010239"
,27000元/月,押一付三,584084.00㎡,,,,第2层(共2层),简装修,商业街商铺,是,美容美发,通州万达广场商铺,新华西街与北苑南路交叉口东南角,4.50米,15.00米,5.10米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:50:14,https://shop.fang.com/zu/3_427450989.html,"116.226850,39.905888"
,94380元/月,面议,32000.00㎡,480㎡,,,第1层(共18层),简装修,写字楼配套底商,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",朝阳门SOHO商铺,朝阳门内大街2号(邮编：100010),15.00米,25.00米,5.20米,客梯8个，货梯2个,26.50元/㎡·月,"网络,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/9/4 9:59:45,https://shop.fang.com/zu/3_438290540.html,"116.432751,39.922435"
,23040元/月,押二付三,330000.00㎡,,,,第3层(共18层),精装修,写字楼配套底商,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,8.00米,15.00米,5.20米,客梯18个，货梯6个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污",2019/7/17 10:02:35,https://shop.fang.com/zu/3_435885206.html,"116.433366,39.920552"
,25000元/月,押一付三,100000.00㎡,,,,第3层(共3层),精装修,住宅底商,否,,建外SOHO商铺,东三环中路39号,8.00米,8.00米,4.00米,客梯12个，货梯2个,30.00元/㎡·月,"网络,暖气,中央空调,排烟,燃气",2019/8/12 10:45:01,https://shop.fang.com/zu/3_437258803.html,"116.458705,39.906458"
,38400元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,10.00米,5.00米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/14 13:28:27,https://shop.fang.com/zu/3_437363935.html,"116.481050,39.996794"
,25000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,3.00米,15.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/7 9:30:03,https://shop.fang.com/zu/3_436988675.html,"116.458705,39.906458"
,76500元/月,押二付三,300㎡,,,,第1层(共2层),精装修,临街门面,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",临街商铺,远洋万和公馆,10.00米,10.00米,5.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/15 23:21:54,https://shop.fang.com/zu/3_437437860.html,"116.460764,40.007096"
,36465元/月,押二付三,143㎡,,,,第1层(共4层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京商业中心,阜通东大街,10.00米,10.00米,5.20米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/24 15:50:02,https://shop.fang.com/zu/3_432797275.html,"116.468758,40.010239"
